"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Lewisham,100754,St Dunstan's College,Independent School,IBO Higher level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Higher level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Higher level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Higher level component,Logic/ Philosophy,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Standard level component,Mathematical Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Standard level component,Mathematics (Further),5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Higher level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Standard level component,Other Languages,7,0,0,0,0,4,3,0,0
Lewisham,100754,St Dunstan's College,Independent School,IBO Higher level component,Other Languages,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Standard level component,Untranslated Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100754,St Dunstan's College,Independent School,IBO Higher level component,Untranslated Literature,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Biology,13,0,0,3,3,5,1,1,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Biology,9,0,1,1,2,3,1,0,1
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Chemistry,8,0,0,1,2,2,1,0,2
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Chemistry,6,0,1,2,1,2,0,0,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Design & Technology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
