"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Bedford,109727,Bedford Girls' School,Independent School,IBO Higher level component,Untranslated Literature,8,0,0,0,0,0,6,2,0
Bedford,109727,Bedford Girls' School,Independent School,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bedford,109727,Bedford Girls' School,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Higher level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Higher level component,Chemistry,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Standard level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Higher level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Higher level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Standard level component,Mathematical Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Standard level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Higher level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Standard level component,Other Languages,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Standard level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Standard level component,Untranslated Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110056,The Windsor Boys' School,Community School,IBO Higher level component,Untranslated Literature,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Standard level component,Biology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,Biology,10,0,0,1,1,4,4,0,0
Reading,110110,Leighton Park School,Independent School,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,Chemistry,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Standard level component,Economics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,Economics,6,0,0,0,0,0,5,1,0
Reading,110110,Leighton Park School,Independent School,IBO Standard level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,Geography,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,History,6,0,0,0,1,1,3,1,0
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,Logic/ Philosophy,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Standard level component,Mathematical Studies,9,0,0,0,2,1,4,2,0
Reading,110110,Leighton Park School,Independent School,IBO Standard level component,Mathematics (Further),6,0,0,0,2,3,1,0,0
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Standard level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Standard level component,Other Languages,8,0,0,0,1,1,6,0,0
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,Other Languages,8,0,0,0,0,1,4,3,0
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Standard level component,Untranslated Literature,12,0,0,0,3,5,4,0,0
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,Untranslated Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110110,Leighton Park School,Independent School,IBO Higher level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Higher level component,Biology,9,0,0,1,0,4,2,2,0
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Higher level component,Chemistry,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,Economics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Higher level component,Economics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,Film Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Higher level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Higher level component,History,6,0,0,0,0,1,4,1,0
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,Mathematical Studies,6,0,0,0,1,0,5,0,0
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,Mathematics (Further),8,0,0,0,2,2,4,0,0
West Berkshire,110121,Bradfield College,Independent School,IBO Higher level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,Music,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,Other Languages,7,0,0,1,0,1,4,1,0
West Berkshire,110121,Bradfield College,Independent School,IBO Higher level component,Other Languages,8,0,0,0,2,1,1,4,0
West Berkshire,110121,Bradfield College,Independent School,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,Untranslated Literature,11,0,0,0,0,1,8,2,0
West Berkshire,110121,Bradfield College,Independent School,IBO Higher level component,Untranslated Literature,8,0,0,0,0,2,6,0,0
West Berkshire,110121,Bradfield College,Independent School,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Biology,8,0,0,0,0,3,4,1,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Biology,19,0,0,0,0,7,3,9,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Chemistry,8,0,0,0,1,1,4,2,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Chemistry,14,0,0,0,0,3,2,7,2
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Economics,28,0,0,0,0,7,12,9,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,History,11,0,0,0,1,2,6,2,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Logic/ Philosophy,11,0,0,0,0,1,5,4,1
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Management Studies / Science,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Mathematical Studies,18,0,0,0,0,3,6,9,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Mathematics (Further),23,0,0,0,1,3,10,8,1
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Mathematics (Further),15,0,0,1,1,4,5,4,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Music,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Other Classical Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Other Languages,41,0,0,0,0,2,18,20,1
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Other Languages,13,0,0,0,0,0,2,11,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Physics,6,0,0,0,1,0,4,1,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Physics,12,0,0,0,1,0,6,5,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Standard level component,Untranslated Literature,35,0,0,0,0,7,20,8,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Untranslated Literature,21,0,0,0,1,4,7,9,0
Bracknell Forest,110125,Wellington College,Independent School,IBO Higher level component,Visual Arts,8,0,0,0,1,0,4,3,0
Reading,110165,The Abbey School Reading,Independent School,IBO Standard level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,Biology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,Classics (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Standard level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Standard level component,Mathematical Studies,8,0,0,0,1,0,4,3,0
Reading,110165,The Abbey School Reading,Independent School,IBO Standard level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Standard level component,Other Languages,11,0,0,0,1,1,8,1,0
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,Other Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Standard level component,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Standard level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,Psychology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Standard level component,Untranslated Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,Untranslated Literature,8,0,0,0,0,0,3,5,0
Reading,110165,The Abbey School Reading,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Higher level component,Biology,6,0,0,0,1,1,1,3,0
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Higher level component,Chemistry,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Higher level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Higher level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Higher level component,History,7,0,0,0,0,0,3,3,1
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Mathematical Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Mathematics (Further),5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Higher level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Other Classical Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Other Languages,9,0,0,0,1,1,4,2,1
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Higher level component,Other Languages,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Untranslated Literature,6,0,0,0,0,0,1,4,1
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Higher level component,Untranslated Literature,7,0,0,0,0,0,4,3,0
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,IBO Higher level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,Biology,6,0,0,0,1,4,1,0,0
Cornwall,112069,Gems Bolitho School,Independent School,IBO Standard level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Standard level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Standard level component,Mathematical Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Standard level component,Mathematics (Further),5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Standard level component,Other Languages,9,0,0,1,1,1,6,0,0
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,Other Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Standard level component,Physical Education/Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,Psychology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Standard level component,Untranslated Literature,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,Untranslated Literature,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112069,Gems Bolitho School,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Biology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Biology,14,0,0,4,3,5,1,1,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Chemistry,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Chemistry,6,0,0,1,1,3,0,1,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Economics,11,0,0,0,2,3,6,0,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Geography,7,0,0,0,1,3,2,1,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Mathematical Studies,11,0,1,0,5,0,5,0,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Mathematics (Further),13,0,1,2,3,3,0,4,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Mathematics (Further),7,0,2,1,3,0,0,1,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Music,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Other Languages,22,0,0,4,3,5,4,6,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Other Languages,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Physics,10,0,0,1,3,2,1,3,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Psychology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Psychology,9,0,0,0,1,3,3,2,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Theatre Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Untranslated Literature,22,0,0,0,0,6,14,2,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Untranslated Literature,19,0,0,0,0,9,9,1,0
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Standard level component,Visual Arts,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112446,Windermere School & Windermere Preparatory School,Independent School,IBO Higher level component,Visual Arts,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Standard level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Higher level component,Biology,7,0,1,2,4,0,0,0,0
Plymouth,113609,Plymouth College,Independent School,IBO Standard level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Higher level component,Economics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Higher level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Standard level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Higher level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Standard level component,Mathematical Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Standard level component,Mathematics (Further),7,0,2,3,0,2,0,0,0
Plymouth,113609,Plymouth College,Independent School,IBO Higher level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Standard level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Standard level component,Other Languages,6,0,0,0,0,2,4,0,0
Plymouth,113609,Plymouth College,Independent School,IBO Higher level component,Other Languages,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Higher level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Standard level component,Untranslated Literature,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Plymouth,113609,Plymouth College,Independent School,IBO Higher level component,Untranslated Literature,11,0,0,0,1,7,2,1,0
Plymouth,113609,Plymouth College,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Standard level component,Biology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,Biology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Standard level component,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,Classics (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,Economics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Standard level component,Film Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,History,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Standard level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,Logic/ Philosophy,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Standard level component,Mathematical Studies,7,0,0,0,1,1,1,4,0
Dorset,113910,Bryanston School,Independent School,IBO Standard level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Higher level component,Mathematics (Further),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113910,Bryanston School,Independent School,IBO Standard level component,Other Classical Languages,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
