"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Grade A*,Grade A,Grade B,Grade C,Grade D,Grade E,No Result
Redbridge,102875,Bancrofts School,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),27,1,9,13,4,0,0,0
Birmingham,103514,Swanshurst School,Community School,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,13,0,0,3,7,3,0,0
Birmingham,103514,Swanshurst School,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,13,0,1,6,4,2,0,0
Birmingham,103515,Bournville School and Sixth Form Centre,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),17,0,2,2,6,4,0,3
Birmingham,103515,Bournville School and Sixth Form Centre,Foundation School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),14,0,2,6,6,0,0,0
Birmingham,103549,Handsworth Grammar School,Voluntary Aided School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,103549,Handsworth Grammar School,Voluntary Aided School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),8,0,1,5,2,0,0,0
Wolverhampton,104389,"Smestow School, A Specialist Sports College",Community School,CACHE Level 3 Award in Child Care and Education,Childcare Skills,11,0,0,7,3,1,0,0
Liverpool,104713,"Broughton Hall High School, A Technology College",Voluntary Aided School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),20,0,0,3,7,6,1,3
Wirral,105107,South Wirral High School,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),15,0,1,3,9,2,0,0
Wirral,105107,South Wirral High School,Foundation School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),9,0,2,3,3,0,0,1
Wirral,105110,St Mary's Catholic College,Voluntary Aided School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,13,0,2,7,4,0,0,0
Salford,105976,Irlam and Cadishead College,Community School,CACHE Level 3 Award in Child Care and Education,Childcare Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Salford,105976,Irlam and Cadishead College,Community School,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,6,0,1,3,2,0,0,0
Rotherham,106955,Wickersley School and Sports College,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,106959,Swinton Community School,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,7,0,0,1,3,2,1,0
