"Number of students entered for an International Baccalaureate diploma by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Grade achieved,,,,,,,,,,,,,,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Number entered,Grade 45,Grade 44,Grade 43,Grade 42,Grade 41,Grade 40,Grade 39,Grade 38,Grade 37,Grade 36,Grade 35,Grade 34,Grade 33,Grade 32,Grade 31,Grade 30,Grade 29,Grade 28,Grade 27,Grade 26,Grade 25,Grade 24,No results
Dorset,113910,Bryanston School,Independent School,International Baccalaureate,11,1,0,0,0,0,0,1,1,0,1,4,1,0,0,0,0,0,1,0,0,0,0,1
Dorset,113918,Sherborne School,Independent School,International Baccalaureate,13,0,0,0,0,1,1,0,0,0,2,0,0,1,2,0,1,2,0,1,0,2,0,0
Dorset,113919,Sherborne School for Girls,Independent School,International Baccalaureate,12,0,0,0,1,0,1,1,2,1,0,2,2,0,0,0,0,0,0,0,1,0,0,1
East Sussex,114656,Buckswood School,Independent School,International Baccalaureate,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,115395,Felsted School,Independent School,International Baccalaureate,17,0,0,1,0,1,0,0,1,0,0,1,3,2,2,1,1,0,0,1,0,1,0,2
Essex,115429,Brentwood School,Independent School,International Baccalaureate,24,0,0,1,0,1,3,2,0,3,2,3,0,0,2,3,1,0,0,0,0,0,0,3
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,International Baccalaureate,32,2,1,1,2,8,4,2,2,2,1,2,2,1,0,0,1,0,0,0,0,0,0,1
Portsmouth,116583,The Portsmouth Grammar School,Independent School,International Baccalaureate,9,0,1,0,0,1,0,0,1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0
Worcestershire,117012,Bromsgrove School,Independent School,International Baccalaureate,28,1,3,0,1,1,1,3,3,2,4,4,3,1,0,0,0,0,0,1,0,0,0,0
Worcestershire,117017,Malvern College,Independent School,International Baccalaureate,85,1,3,4,2,3,5,5,12,4,4,5,6,5,6,3,1,6,2,2,3,0,0,3
Hertfordshire,117607,Haileybury and Imperial Service College,Independent School,International Baccalaureate,48,1,1,1,3,1,3,5,3,2,4,5,3,5,5,4,1,0,0,0,0,0,0,1
Isle of Wight,118223,Ryde School with Upper Chine,Independent School,International Baccalaureate,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
