"Number of students passing a BTEC extended diploma by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Triple Distinction Star,Double Distinction Star Distinction,Distinction Star Double Distinction,Triple Distinction,Double Distinction Merit,Distinction Double Merit,Triple Merit,Double Merit Pass,Merit Double Pass,Triple Pass
Lambeth,100625,Lilian Baylis Technology School,Community School,Pearson BTEC Level 3 Extended Diploma,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100625,Lilian Baylis Technology School,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,6,5,0,0,1,0,0,0,0,0,0
Lambeth,100638,Bishop Thomas Grant Catholic Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,6,6,0,0,0,0,0,0,0,0,0
Lambeth,100642,London Nautical School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,20,3,0,2,5,1,1,4,1,2,1
Tower Hamlets,100967,Morpeth School,Community School,Pearson BTEC Level 3 Extended Diploma,Multimedia,7,0,1,0,0,2,1,1,1,1,0
Tower Hamlets,100967,Morpeth School,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,11,3,1,4,0,0,1,2,0,0,0
Tower Hamlets,100973,Swanlea School,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,21,4,3,0,2,4,3,3,1,1,0
Tower Hamlets,100973,Swanlea School,Community School,Pearson BTEC Level 3 Extended Diploma,Computer Appreciation / Introduction,18,2,0,0,7,2,2,5,0,0,0
Tower Hamlets,100975,Central Foundation Girls' School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Business Studies,10,6,1,0,2,0,0,1,0,0,0
Tower Hamlets,100975,Central Foundation Girls' School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Health Studies,24,9,6,3,3,2,1,0,0,0,0
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Business Studies,12,7,0,3,1,0,1,0,0,0,0
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Computer Appreciation / Introduction,10,5,2,1,0,2,0,0,0,0,0
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Health Studies,13,4,1,2,3,2,1,0,0,0,0
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports / Movement Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100979,Raine's Foundation School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,6,3,3,0,0,0,0,0,0,0,0
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Extended Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Extended Diploma,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Extended Diploma,Engineering Studies,15,2,2,0,2,0,4,2,1,1,1
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,9,3,0,1,2,0,2,0,0,1,0
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,Pearson BTEC Level 3 Extended Diploma,Engineering Studies,10,2,1,2,0,1,2,1,1,0,0
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Extended Diploma,Applied Sciences,18,0,0,0,4,6,1,5,1,1,0
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,12,3,3,2,0,2,1,1,0,0,0
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Extended Diploma,Dance: General,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Extended Diploma,Sports / Movement Science,28,2,4,1,3,5,7,2,4,0,0
Barking and Dagenham,101243,Eastbrook Comprehensive School,Community School,Pearson BTEC Level 3 Extended Diploma,Speech & Drama,10,0,2,0,3,2,2,1,0,0,0
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Extended Diploma,Computer Appreciation / Introduction,13,6,2,1,3,1,0,0,0,0,0
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,10,0,0,0,2,3,2,1,1,1,0
