"Number of students passing a double award OCR Cambridge technical diploma or technical subsidiary diploma level 3 by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Double Star,Star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double Pass
Leeds,108086,Bruntcliffe School,Foundation School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108524,Walbottle Campus,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108524,Walbottle Campus,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108640,Burnside Business and Enterprise College,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108640,Burnside Business and Enterprise College,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108640,Burnside Business and Enterprise College,Community School,OCR Cambridge Technical Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108640,Burnside Business and Enterprise College,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108641,Churchill Community College,Foundation School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,7,1,0,2,1,2,0,1
North Tyneside,108641,Churchill Community College,Foundation School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bedford,109665,Hastingsbury Business & Enterprise College,Foundation School,OCR Cambridge Technical Diploma at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bedford,109665,Hastingsbury Business & Enterprise College,Foundation School,OCR Cambridge Technical Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bedford,109665,Hastingsbury Business & Enterprise College,Foundation School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Multimedia,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Reading,110107,Blessed Hugh Faringdon Catholic School,Voluntary Aided School,OCR Cambridge Technical Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112038,Treviglas Community College,Community School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112038,Treviglas Community College,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112045,Budehaven Community School,Foundation School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,13,2,4,1,3,2,1,0
Cornwall,112054,Redruth School,Foundation School,OCR Cambridge Technical Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,112054,Redruth School,Foundation School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113888,The Blandford School,Voluntary Controlled School,OCR Cambridge Technical Diploma at Level 3,Business Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113902,Budmouth College,Foundation School,OCR Cambridge Technical Diploma at Level 3,Business Studies,6,2,0,0,1,1,1,1
County Durham,114311,Durham Community Business College for Technology and Enterprise,Community School,OCR Cambridge Technical Diploma at Level 3,Business Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Worcestershire,117032,Bredon School,Independent School,OCR Cambridge Technical Diploma at Level 3,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Worcestershire,117032,Bredon School,Independent School,OCR Cambridge Technical Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117531,Turnford School,Community School,OCR Cambridge Technical Diploma at Level 3,Business Studies,6,2,3,1,0,0,0,0
Hertfordshire,117591,Chancellor's School,Foundation School,OCR Cambridge Technical Diploma at Level 3,Film / Video / Television Production,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Riding of Yorkshire,118075,Withernsea High School Specialising In Humanities,Community School,OCR Cambridge Technical Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Riding of Yorkshire,118075,Withernsea High School Specialising In Humanities,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
