"Number of students passing an OCR Cambridge technical certificate or technical introductory diploma level 3 by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction*,Distinction,Merit,Pass
North Lincolnshire,118109,Baysgarth School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Kent,118803,The Community College Whitstable,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Kent,118803,The Community College Whitstable,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,15,2,3,2,8
Kent,118882,Aylesford School - Sports College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Kent,118897,The Malling School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Kent,118897,The Malling School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,2,2,1,2
Kent,118903,Hugh Christie Technology College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp
Medway,118908,St John Fisher Catholic Comprehensive School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,23,10,4,9,0
Kent,118918,St Anselm's Catholic School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,2,1,1,2
Kent,118930,Pent Valley Technology College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,6,2,2,0,2
Kent,118930,Pent Valley Technology College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,6,1,0,0,5
Kent,119001,Kent College (Canterbury),Independent School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,4,5,0,0
Lancashire,119711,Heysham High School Sports College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,8,2,1,4,1
Lancashire,119711,Heysham High School Sports College,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lancashire,119711,Heysham High School Sports College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lancashire,119722,Alder Grange Community and Technology School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lancashire,119722,Alder Grange Community and Technology School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Lancashire,119744,Carr Hill High School and Sixth Form Centre,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,12,8,1,1,2
Lancashire,119744,Carr Hill High School and Sixth Form Centre,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,8,3,2,0
Lancashire,119744,Carr Hill High School and Sixth Form Centre,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Lancashire,119748,Carnforth High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Lancashire,119748,Carnforth High School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Lancashire,119748,Carnforth High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Blackpool,119778,St Mary's Catholic College,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,7,2,0,3,2
Blackpool,119778,St Mary's Catholic College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,3,3,0,0
Lancashire,119798,Our Lady's Catholic College,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Lancashire,119798,Our Lady's Catholic College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Leicestershire,120236,Charnwood College (Upper),Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,5,Supp,Supp,Supp,Supp
Leicester,120297,The City of Leicester College,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Leicester,120297,The City of Leicester College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,16,4,3,5,4
Norfolk,121157,Smithdon High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Norfolk,121185,Fakenham High School and College,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
North Yorkshire,121666,Thirsk School & Sixth Form College,Community School,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
North Yorkshire,121666,Thirsk School & Sixth Form College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
North Yorkshire,121679,The Wensleydale School & Sixth Form,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
North Yorkshire,121679,The Wensleydale School & Sixth Form,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
North Yorkshire,121693,Tadcaster Grammar School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
North Yorkshire,121693,Tadcaster Grammar School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
North Yorkshire,121695,Sherburn High School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
North Yorkshire,121695,Sherburn High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,2,6,5,0
North Yorkshire,121710,Northallerton College,Voluntary Controlled School,OCR Cambridge Technical Certificate at Level 3,Business Studies,3,Supp,Supp,Supp,Supp
North Yorkshire,121710,Northallerton College,Voluntary Controlled School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,7,3,1,2,1
North Yorkshire,121710,Northallerton College,Voluntary Controlled School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,16,12,0,2,2
York,121711,Joseph Rowntree School,Voluntary Controlled School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,9,1,0,0
Northamptonshire,122059,Wollaston School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Northumberland,122356,Queen Elizabeth High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp
Northumberland,122360,Bedlingtonshire Community High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,12,4,1,2,5
Nottinghamshire,122867,Colonel Frank Seely Comprehensive School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,7,0,0,0
Shropshire,123580,The Grove School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Sports Studies,4,Supp,Supp,Supp,Supp
Shropshire,123580,The Grove School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,3,Supp,Supp,Supp,Supp
Shropshire,123588,Sir John Talbot's Technology College,Voluntary Controlled School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Shropshire,123588,Sir John Talbot's Technology College,Voluntary Controlled School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,2,2,1,2
Shropshire,123588,Sir John Talbot's Technology College,Voluntary Controlled School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,10,4,3,3,0
Shropshire,123589,"The Thomas Adams School, Wem",Voluntary Controlled School,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Shropshire,123589,"The Thomas Adams School, Wem",Voluntary Controlled School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,6,5,0,0,1
Somerset,123879,The King Alfred School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Somerset,123879,The King Alfred School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,14,6,5,2,1
Staffordshire,124391,Paulet High School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Staffordshire,124391,Paulet High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,3,1,2,3
Staffordshire,124395,Norton Canes High School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Staffordshire,124395,Norton Canes High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,3,1,2,1
Staffordshire,124397,Kingsmead School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,17,11,1,4,1
Staffordshire,124400,Codsall Community High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Staffordshire,124406,Leek High Specialist Technology School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Staffordshire,124408,King Edward VI School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,1,3,5,0
Staffordshire,124409,Nether Stowe School A Specialist Mathematics & Computing College,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,8,1,0,2,5
Staffordshire,124409,Nether Stowe School A Specialist Mathematics & Computing College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Staffordshire,124422,The Friary School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Staffordshire,124422,The Friary School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Staffordshire,124430,Thomas Alleyne's High School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Staffordshire,124430,Thomas Alleyne's High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Staffordshire,124459,Blessed Robert Sutton Catholic Sports College,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Staffordshire,124459,Blessed Robert Sutton Catholic Sports College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,11,1,4,3,3
Suffolk,124797,Thomas Gainsborough School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,9,5,1,3,0
Suffolk,124804,Newmarket College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,3,Supp,Supp,Supp,Supp
Suffolk,124804,Newmarket College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Suffolk,124818,Stowmarket High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,8,3,2,0
Suffolk,124818,Stowmarket High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
Suffolk,124819,Alde Valley School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,4,Supp,Supp,Supp,Supp
Suffolk,124853,Stowupland High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Suffolk,124861,St Benedict's Catholic School,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Surrey,125275,St Andrew's Catholic School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,4,Supp,Supp,Supp,Supp
Surrey,125275,St Andrew's Catholic School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,8,2,1,4,1
Surrey,125279,Royal Alexandra and Albert School,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Surrey,125279,Royal Alexandra and Albert School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,3,1,2,0
Warwickshire,125775,The Kingsley School,Independent School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
West Sussex,126068,"Weald School, the",Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,16,7,0,5,4
West Sussex,126068,"Weald School, the",Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,11,6,3,1,1
West Sussex,126110,Seaford College,Independent School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lewisham,130416,Christ The King Sixth Form College,Further Education Sector Institution,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
Bromley,130430,Bromley College of Further and Higher Education,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Bromley,130430,Bromley College of Further and Higher Education,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Kingston upon Thames,130448,Kingston College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Sutton,130455,Carshalton College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Birmingham,130469,Cadbury Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Certificate at Level 3,Health Studies,32,1,1,7,23
Birmingham,130469,Cadbury Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,26,2,4,11,9
Dudley,130476,Halesowen College,Tertiary College,OCR Cambridge Technical Certificate at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Sefton,130490,Hugh Baird College,Tertiary College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Wirral,130493,Wirral Metropolitan College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Health Studies,7,4,0,1,2
Wirral,130494,Birkenhead Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Bury,130498,Bury College,Tertiary College,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Bury,130498,Bury College,Tertiary College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Manchester,130504,Xaverian College,Further Education Sector Institution,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,20,2,10,8,0
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,8,5,1,2,0
Stockport,130514,Aquinas College,Further Education Sector Institution,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,32,19,6,4,3
Rotherham,130529,Dearne Valley College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Rotherham,130529,Dearne Valley College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Sheffield,130531,The Sheffield College,Tertiary College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Bradford,130532,Bradford College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
Bradford,130532,Bradford College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Bath and North East Somerset,130558,City of Bath College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Bath and North East Somerset,130559,Norton Radstock College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,14,5,2,3,4
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,20,4,5,10,1
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
York,130594,York College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
York,130594,York College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Bedford,130597,Bedford College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Bedford,130597,Bedford College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp
Cheshire East,130623,Reaseheath College,Agriculture and Horticulture College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Warrington,130624,Priestley College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,2,Supp,Supp,Supp,Supp
Warrington,130624,Priestley College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Cumbria,130637,Barrow-in-Furness Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,11,2,0,5,4
Plymouth,130649,City College Plymouth,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,25,5,7,5,8
Darlington,130662,Queen Elizabeth Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,40,7,13,14,6
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Certificate at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,23,14,7,2,0
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Gloucestershire,130683,Gloucestershire College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Gloucestershire,130683,Gloucestershire College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Hampshire,130699,Totton College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,3,Supp,Supp,Supp,Supp
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,26,15,1,7,3
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,5,Supp,Supp,Supp,Supp
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,20,17,2,1,0
Hertfordshire,130720,West Herts College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Hertfordshire,130722,Hertford Regional College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Hertfordshire,130722,Hertford Regional College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Isle of Wight,130724,The Isle of Wight College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Medway,130726,MidKent College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Medway,130726,MidKent College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Blackburn with Darwen,130746,St Mary's College,Further Education Sector Institution,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,10,3,0,5,2
Leicestershire,130750,South Leicestershire College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,4,Supp,Supp,Supp,Supp
Leicestershire,130754,Brooksby Melton College,General Further Education College (Special),OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
Leicester,130755,Gateway Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,14,6,0,4,4
Lincolnshire,130759,Grantham College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lincolnshire,130762,Lincoln College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Norfolk,130763,The College of West Anglia,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,69,30,9,16,14
Norfolk,130764,Norwich City College of Further and Higher Education,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Northamptonshire,130769,Northampton College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Nottinghamshire,130777,West Nottinghamshire College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Nottinghamshire,130779,North Nottinghamshire College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,8,0,0,3,5
Nottinghamshire,130783,Central College Nottingham,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp
Staffordshire,130813,Stafford College,General Further Education College,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Suffolk,130818,West Suffolk College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
Bradford,130909,Dixons City Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,16,13,3,0,0
Croydon,131280,Virgo Fidelis Convent Senior School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,3,Supp,Supp,Supp,Supp
Croydon,131280,Virgo Fidelis Convent Senior School,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Health Studies,15,3,4,6,2
Croydon,131280,Virgo Fidelis Convent Senior School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,12,3,3,4,2
Nottinghamshire,131360,Magnus CofE School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
County Durham,131859,East Durham College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Harrow,131864,Harrow College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Sheffield,131895,Sheffield Park Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Liverpool,132119,Auckland College,Independent School,OCR Cambridge Technical Certificate at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp
Liverpool,132119,Auckland College,Independent School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp
Bradford,132217,Parkside School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,3,3,6,1
Bradford,132217,Parkside School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Wiltshire,132779,Wiltshire College,General Further Education College,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Thurrock,133114,The Gateway Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Haringey,133386,Greig City Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,14,12,0,1,1
