"Number of students passing an OCR Cambridge technical certificate or technical introductory diploma level 3 by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction*,Distinction,Merit,Pass
Walsall,104259,"St Thomas More Catholic School, Willenhall",Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,32,11,9,7,5
Wolverhampton,104387,"Deansfield Community School, Specialists In Media Arts",Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
Wolverhampton,104390,Coppice Performing Arts School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,2,Supp,Supp,Supp,Supp
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,20,6,4,6,4
Wolverhampton,104397,Moreton Community School,Community School,OCR Cambridge Technical Certificate at Level 3,Art & Design,2,Supp,Supp,Supp,Supp
Wolverhampton,104397,Moreton Community School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,2,Supp,Supp,Supp,Supp
Wolverhampton,104401,Our Lady and St Chad Catholic Sports College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
Liverpool,104698,Calderstones School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,7,0,0,1,6
Liverpool,104698,Calderstones School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,0,1,2,3
Liverpool,104702,Parklands High School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Liverpool,104706,Notre Dame Catholic College,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Liverpool,104706,Notre Dame Catholic College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,2,Supp,Supp,Supp,Supp
Liverpool,104706,Notre Dame Catholic College,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Liverpool,104706,Notre Dame Catholic College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,14,0,2,9,3
Liverpool,104706,Notre Dame Catholic College,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Liverpool,104706,Notre Dame Catholic College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,6,0,2,1,3
St. Helens,104826,Rainford High Technology College,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
St. Helens,104826,Rainford High Technology College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,0,3,4,3
St. Helens,104830,Rainhill High School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
St. Helens,104830,Rainhill High School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Sefton,104960,Maricourt Catholic High School,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,33,22,0,10,1
Sefton,104960,Maricourt Catholic High School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,29,21,8,0,0
Sefton,104961,Sacred Heart Catholic College,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,60,34,6,16,4
Sefton,104961,Sacred Heart Catholic College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,54,28,14,12,0
Sefton,104962,Holy Family Catholic High School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Wirral,105106,Bebington High Sports College,Foundation School,OCR Cambridge Technical Certificate at Level 3,Business Studies,4,Supp,Supp,Supp,Supp
Wirral,105106,Bebington High Sports College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Rochdale,105844,Cardinal Langley Roman Catholic High School,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Rochdale,105844,Cardinal Langley Roman Catholic High School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,24,16,7,0,1
Rochdale,105844,Cardinal Langley Roman Catholic High School,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,8,5,2,1,0
Rochdale,105844,Cardinal Langley Roman Catholic High School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,9,5,4,0,0
Doncaster,106810,The McAuley Catholic High School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,29,21,8,0,0
Rotherham,106954,Wath Comprehensive School : A Language College,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Rotherham,106954,Wath Comprehensive School : A Language College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Rotherham,106958,Dinnington Comprehensive Specialising in Science and Engineering,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,20,15,2,3,0
Bradford,107350,Buttershaw Business and Enterprise College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Bradford,107350,Buttershaw Business and Enterprise College,Foundation School,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,9,4,0,0,5
Bradford,107350,Buttershaw Business and Enterprise College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,8,4,0,2,2
Bradford,107350,Buttershaw Business and Enterprise College,Foundation School,OCR Cambridge Technical Certificate at Level 3,Health Studies,15,3,4,5,3
Bradford,107350,Buttershaw Business and Enterprise College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,11,2,4,4,1
Bradford,107391,Queensbury School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Bradford,107395,Titus Salt School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,29,19,6,3,1
