"Number of students passing a BTEC 90 credit diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Double Distinction Star,Distinction star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
Enfield,102050,Lea Valley High School,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102050,Lea Valley High School,Community School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102239,Whitmore High School,Community School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,20,5,4,3,7,1,0,0
Merton,102673,Ricards Lodge High School,Community School,Pearson BTEC Level 3 90-credit Diploma,Multimedia,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Merton,102674,Raynes Park High School,Community School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sutton,103003,Stanley Park High School,Community School,Pearson BTEC Level 3 90-credit Diploma,Art & Design,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103728,Stoke Park School and Community Technology College,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sandwell,104018,Holly Lodge Foundation High School College of Science,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,12,6,2,3,1,0,0,0
Sandwell,104020,Stuart Bathurst Catholic High School College of Performing Arts,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,10,3,2,0,0,2,1,2
Solihull,104118,Smith's Wood Sports College,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,104118,Smith's Wood Sports College,Community School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
