"Number of students entered for the AQA Baccalaureate by institution, subject and grade achieved",,,,,,,,,
,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Number entered,Distinction,Merit,Pass,No results
Suffolk,124818,Stowmarket High School,Community School,AQA Baccalaureate Core,7,0,2,4,1
Surrey,125349,City of London Freemen's School,Independent School,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
West Sussex,126097,"Bishop Luffa Church of England School, Chichester",Voluntary Aided School,AQA Baccalaureate Core,6,2,4,0,0
Liverpool,130487,The City of Liverpool College,General Further Education College,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
Sefton,130492,King George V College,Sixth Form Centre / Consortia,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Wigan,130522,Winstanley College,Sixth Form Centre / Consortia,AQA Baccalaureate Core,41,10,19,3,9
Bradford,130532,Bradford College,General Further Education College,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Wakefield,130549,Wakefield College,General Further Education College,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Luton,130600,Luton Sixth Form College,Sixth Form Centre / Consortia,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,AQA Baccalaureate Core,8,2,5,0,1
Hampshire,130705,St Vincent College,Sixth Form Centre / Consortia,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Southampton,130707,Richard Taunton Sixth Form College,Sixth Form Centre / Consortia,AQA Baccalaureate Core,5,Supp,Supp,Supp,Supp
Lancashire,130738,Nelson and Colne College,Tertiary College,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Lincolnshire,130760,New College Stamford,General Further Education College,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Somerset,130808,Richard Huish College,Further Education Sector Institution,AQA Baccalaureate Core,35,15,17,2,1
West Sussex,130843,Chichester College,General Further Education College,AQA Baccalaureate Core,2,Supp,Supp,Supp,Supp
Swindon,130851,New College Swindon,General Further Education College,AQA Baccalaureate Core,7,0,4,3,0
