"Number of students entered for a Pre-U principal subject by institution, subject and grade achieved ",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction 1,Distinction 2,Distinction 3,Merit 1,Merit 2,Merit 3,Pass 1,Pass 2,Pass 3,No results
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Classical Greek,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Economics,12,0,2,5,0,3,1,0,0,1,0
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,English Literature,22,2,4,8,3,3,2,0,0,0,0
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,French,13,0,1,2,2,4,3,0,1,0,0
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,General Studies,33,1,7,16,5,1,1,1,0,0,1
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Geography,12,1,1,2,1,2,3,1,1,0,0
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,German,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Government & Politics,13,0,2,7,4,0,0,0,0,0,0
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,History,17,1,4,9,3,0,0,0,0,0,0
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,History of Art,14,0,1,7,3,2,1,0,0,0,0
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Italian,9,0,0,0,3,2,1,2,0,1,0
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Latin,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Mathematics,34,2,9,8,6,2,6,0,1,0,0
