"Number of students entered for a Pre-U principal subject by institution, subject and grade achieved ",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction 1,Distinction 2,Distinction 3,Merit 1,Merit 2,Merit 3,Pass 1,Pass 2,Pass 3,No results
Hackney,133608,The Brooke House Sixth Form College,Sixth Form Centre / Consortia,Pre-U Principal Subject,General Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,134153,Activate Learning,General Further Education College,Pre-U Principal Subject,Art & Design (Textiles),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,135371,Cornwallis Academy,Sponsored Academy,Pre-U Principal Subject,Chinese,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,136137,Skinners' Academy,Sponsored Academy,Pre-U Principal Subject,English Literature,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,136289,Watford Grammar School for Girls,Converter Academy,Pre-U Principal Subject,English Literature,10,0,5,2,2,0,0,1,0,0,0
Hertfordshire,136289,Watford Grammar School for Girls,Converter Academy,Pre-U Principal Subject,History,18,3,2,7,2,3,1,0,0,0,0
Reading,136307,Highdown School and Sixth Form Centre,Converter Academy,Pre-U Principal Subject,Chinese,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,136311,Somervale School Specialist Media Arts College,Converter Academy,Pre-U Principal Subject,General Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,136311,Somervale School Specialist Media Arts College,Converter Academy,Pre-U Principal Subject,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136313,The Rochester Grammar School,Converter Academy,Pre-U Principal Subject,General Studies,16,0,4,11,1,0,0,0,0,0,0
Bath and North East Somerset,136335,Norton Hill Academy,Converter Academy,Pre-U Principal Subject,Economics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,136335,Norton Hill Academy,Converter Academy,Pre-U Principal Subject,General Studies,7,0,0,1,2,4,0,0,0,0,0
Bath and North East Somerset,136335,Norton Hill Academy,Converter Academy,Pre-U Principal Subject,History,23,0,0,5,2,5,5,4,2,0,0
Medway,136337,Fort Pitt Grammar School,Converter Academy,Pre-U Principal Subject,General Studies,6,0,0,2,2,1,0,1,0,0,0
Cumbria,136357,Queen Elizabeth School,Converter Academy,Pre-U Principal Subject,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136463,Comberton Village College,Converter Academy,Pre-U Principal Subject,General Studies,7,0,0,5,1,1,0,0,0,0,0
Buckinghamshire,136484,"The Royal Grammar School, High Wycombe",Converter Academy,Pre-U Principal Subject,Physics,18,7,6,1,3,0,0,0,0,1,0
Medway,136594,Chatham Grammar School for Boys,Converter Academy,Pre-U Principal Subject,Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136594,Chatham Grammar School for Boys,Converter Academy,Pre-U Principal Subject,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136594,Chatham Grammar School for Boys,Converter Academy,Pre-U Principal Subject,Classical Civilisation,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136594,Chatham Grammar School for Boys,Converter Academy,Pre-U Principal Subject,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136594,Chatham Grammar School for Boys,Converter Academy,Pre-U Principal Subject,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136594,Chatham Grammar School for Boys,Converter Academy,Pre-U Principal Subject,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136594,Chatham Grammar School for Boys,Converter Academy,Pre-U Principal Subject,Philosophy & Theology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Medway,136594,Chatham Grammar School for Boys,Converter Academy,Pre-U Principal Subject,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,136615,The Tiffin Girls' School,Converter Academy,Pre-U Principal Subject,Music,7,2,2,0,2,1,0,0,0,0,0
Essex,136642,"King Edward VI Grammar School, Chelmsford",Converter Academy,Pre-U Principal Subject,English Literature,53,7,19,14,6,4,2,0,1,0,0
Essex,136642,"King Edward VI Grammar School, Chelmsford",Converter Academy,Pre-U Principal Subject,General Studies,15,3,7,5,0,0,0,0,0,0,0
Kent,136727,Oakwood Park Grammar School,Converter Academy,Pre-U Principal Subject,English Literature,14,0,0,1,5,2,1,2,3,0,0
Kent,136727,Oakwood Park Grammar School,Converter Academy,Pre-U Principal Subject,History,29,0,4,8,3,6,4,4,0,0,0
Kent,136727,Oakwood Park Grammar School,Converter Academy,Pre-U Principal Subject,Philosophy & Theology,9,0,3,3,2,1,0,0,0,0,0
Lancashire,136742,Lancaster Royal Grammar School,Converter Academy,Pre-U Principal Subject,Business  Studies:Single,21,3,3,5,7,0,1,2,0,0,0
Lancashire,136742,Lancaster Royal Grammar School,Converter Academy,Pre-U Principal Subject,English Literature,23,0,1,7,5,3,6,0,1,0,0
Lancashire,136742,Lancaster Royal Grammar School,Converter Academy,Pre-U Principal Subject,Philosophy & Theology,10,0,0,1,4,3,2,0,0,0,0
Gloucestershire,136772,Cleeve School,Converter Academy,Pre-U Principal Subject,Chinese,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,136778,Sutton Coldfield Grammar School for Girls,Converter Academy,Pre-U Principal Subject,General Studies,6,0,0,5,0,0,1,0,0,0,0
Sutton,136787,Sutton Grammar School,Converter Academy,Pre-U Principal Subject,General Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Gloucestershire,137033,Katharine Lady Berkeley's School,Converter Academy,Pre-U Principal Subject,Chinese,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,137302,King Edward VI School,Converter Academy,Pre-U Principal Subject,English Literature,17,1,1,8,5,2,0,0,0,0,0
Warwickshire,137302,King Edward VI School,Converter Academy,Pre-U Principal Subject,French,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,137475,Hinchingbrooke School,Converter Academy,Pre-U Principal Subject,General Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,137475,Hinchingbrooke School,Converter Academy,Pre-U Principal Subject,Mathematics,6,1,0,0,3,1,1,0,0,0,0
Barnet,138051,The Henrietta Barnett School,Converter Academy,Pre-U Principal Subject,General Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,138221,St Joseph's College,Converter Academy,Pre-U Principal Subject,Chinese,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Westminster,138313,The Grey Coat Hospital,Converter Academy,Pre-U Principal Subject,History of Art,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Westminster,138313,The Grey Coat Hospital,Converter Academy,Pre-U Principal Subject,Latin,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,138480,The Harvey Grammar School,Converter Academy,Pre-U Principal Subject,Chinese,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,138937,Handsworth Wood Girls' Academy,Converter Academy,Pre-U Principal Subject,General Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,139304,Spalding Grammar School,Converter Academy,Pre-U Principal Subject,General Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
