"Number of students passing a BTEC national diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Triple Distinction,Double Distinction Merit,Distinction Double Merit,Triple Merit,Double Merit Pass,Merit Double Pass,Triple Pass
Warrington,130617,Warrington Collegiate,General Further Education College,BTEC National Diploma,Childcare Skills,7,6,0,0,0,0,0,1
Cheshire West and Chester,130618,West Cheshire College,General Further Education College,BTEC National Diploma,Childcare Skills,18,7,4,0,2,3,2,0
Cheshire West and Chester,130620,Mid-Cheshire College of Further Education,General Further Education College,BTEC National Diploma,Childcare Skills,24,1,1,3,3,2,8,6
Cheshire East,130621,Macclesfield College,General Further Education College,BTEC National Diploma,Childcare Skills,14,9,0,0,0,1,1,3
Halton,130622,Riverside College Halton,General Further Education College,BTEC National Diploma,Childcare Skills,31,20,5,4,1,1,0,0
Cornwall,130627,Cornwall College,General Further Education College,BTEC National Diploma,Childcare Skills,21,7,1,6,4,0,1,2
Cumbria,130631,Kendal College,General Further Education College,BTEC National Diploma,Childcare Skills,21,9,3,2,3,0,2,2
Cumbria,130632,Lakes College - West Cumbria,General Further Education College,BTEC National Diploma,Childcare Skills,9,5,1,2,1,0,0,0
Derbyshire,130638,Chesterfield College,General Further Education College,BTEC National Diploma,Automotive Engineering,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,130645,Exeter College,Tertiary College,BTEC National Diploma,Childcare Skills,39,10,0,2,2,4,6,15
Devon,130646,Petroc,Tertiary College,BTEC National Diploma,Childcare Skills,33,23,1,1,2,1,1,4
Brighton and Hove,130668,Varndean College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,25,14,1,2,0,1,4,3
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,BTEC National Diploma,Airport Management / Ground Services,19,6,1,6,2,1,2,1
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,BTEC National Diploma,Childcare Skills,53,33,5,3,6,1,0,5
Essex,130674,Colchester Institute,General Further Education College,BTEC National Diploma,Childcare Skills,43,3,3,6,5,5,5,16
Essex,130676,Harlow College,Tertiary College,BTEC National Diploma,Childcare Skills,30,10,1,4,4,2,3,6
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,27,20,1,2,1,1,0,2
Hampshire,130690,Brockenhurst College,Tertiary College,BTEC National Diploma,Childcare Skills,18,4,1,3,1,2,1,6
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,6,6,0,0,0,0,0,0
Hampshire,130695,The South Downs College,General Further Education College,BTEC National Diploma,Childcare Skills,40,23,2,4,0,4,2,5
Worcestershire,130719,Worcester Sixth Form College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,19,13,1,1,0,2,1,1
Hertfordshire,130720,West Herts College,General Further Education College,BTEC National Diploma,Childcare Skills,30,13,5,1,2,1,2,6
Hertfordshire,130721,North Hertfordshire College,General Further Education College,BTEC National Diploma,Childcare Skills,13,6,1,2,1,0,1,2
Lancashire,130734,Accrington and Rossendale College,Tertiary College,BTEC National Diploma,Childcare Skills,16,12,1,0,0,2,1,0
Lancashire,130735,Burnley College,General Further Education College,BTEC National Diploma,Childcare Skills,27,9,5,4,1,3,3,2
Blackburn with Darwen,130736,Blackburn College,General Further Education College,BTEC National Diploma,Childcare Skills,37,24,4,1,1,2,2,3
Blackpool,130739,Blackpool and the Fylde College,General Further Education College,BTEC National Diploma,Childcare Skills,20,16,2,1,1,0,0,0
Lancashire,130740,Preston College,Tertiary College,BTEC National Diploma,Childcare Skills,13,8,0,1,1,0,2,1
Lancashire,130741,Runshaw College,Tertiary College,BTEC National Diploma,Childcare Skills,60,57,3,0,0,0,0,0
Blackburn with Darwen,130746,St Mary's College,Further Education Sector Institution,BTEC National Diploma,Childcare Skills,15,11,1,1,1,0,1,0
Lincolnshire,130759,Grantham College,General Further Education College,BTEC National Diploma,Childcare Skills,8,6,1,1,0,0,0,0
Lincolnshire,130760,New College Stamford,General Further Education College,BTEC National Diploma,Childcare Skills,17,14,1,0,2,0,0,0
Norfolk,130763,The College of West Anglia,General Further Education College,BTEC National Diploma,Automotive Engineering,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,130763,The College of West Anglia,General Further Education College,BTEC National Diploma,Childcare Skills,35,11,3,6,4,3,5,3
Norfolk,130765,Great Yarmouth College,General Further Education College,BTEC National Diploma,Childcare Skills,18,9,1,1,0,3,3,1
Northamptonshire,130771,Tresham College of Further and Higher Education,General Further Education College,BTEC National Diploma,Childcare Skills,10,7,2,0,0,0,0,1
Nottinghamshire,130783,Central College Nottingham,General Further Education College,BTEC National Diploma,Childcare Skills,20,5,0,2,2,0,7,4
Oxfordshire,130789,The Henley College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,13,5,2,5,0,1,0,0
Somerset,130803,Bridgwater College,Tertiary College,BTEC National Diploma,Childcare Skills,48,23,0,0,1,1,3,20
Somerset,130804,Somerset College of Arts and Technology,General Further Education College,BTEC National Diploma,Childcare Skills,9,4,0,1,1,1,1,1
Staffordshire,130809,Burton and South Derbyshire College,General Further Education College,BTEC National Diploma,Childcare Skills,21,16,1,0,0,0,2,2
Staffordshire,130812,Newcastle-under-Lyme College,Tertiary College,BTEC National Diploma,Childcare Skills,61,36,3,3,11,3,2,3
Staffordshire,130813,Stafford College,General Further Education College,BTEC National Diploma,Childcare Skills,28,18,2,0,2,2,1,3
Suffolk,130818,West Suffolk College,General Further Education College,BTEC National Diploma,Childcare Skills,16,13,1,0,1,0,1,0
Suffolk,130820,Suffolk New College,General Further Education College,BTEC National Diploma,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
