"Number of students entered for applied AS level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
Coventry,103728,Stoke Park School and Community Technology College,Foundation School,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,104119,St Peter's Catholic School and Specialist Science College,Voluntary Aided School,Applied GCE AS level Double Award,Applied Science,9,0,0,2,0,0,2,3,0,0,2
Solihull,104119,St Peter's Catholic School and Specialist Science College,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,6,0,0,1,2,0,2,1,0,0,0
Walsall,104259,"St Thomas More Catholic School, Willenhall",Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,11,0,1,1,0,2,1,3,2,1,0
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104703,King David High School,Voluntary Aided School,Applied GCE AS level Double Award,Applied Business,8,0,1,3,0,2,2,0,0,0,0
Liverpool,104705,"Archbishop Blanch CofE VA High School, A Technology College and Training School",Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,6,0,1,0,2,0,2,1,0,0,0
Liverpool,104713,"Broughton Hall High School, A Technology College",Voluntary Aided School,Applied GCE AS level Double Award,Applied Business,8,0,0,3,3,2,0,0,0,0,0
Sefton,104961,Sacred Heart Catholic College,Voluntary Aided School,Applied GCE AS level Double Award,Applied Business,15,0,1,1,4,3,4,2,0,0,0
Sefton,104961,Sacred Heart Catholic College,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,11,0,0,0,2,4,4,0,0,1,0
Sefton,104964,Christ The King Catholic High School and Sixth Form Centre,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105556,Parrs Wood High School,Community School,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,105737,North Chadderton School,Foundation School,Applied GCE AS level Double Award,Applied Business,10,1,3,3,2,1,0,0,0,0,0
Rotherham,106955,Wickersley School and Sports College,Community School,Applied GCE AS level Double Award,Health & Social Care,7,0,0,2,3,1,1,0,0,0,0
Sheffield,107139,High Storrs School,Community School,Applied GCE AS level Double Award,Health & Social Care,12,0,0,1,4,3,2,1,1,0,0
Sheffield,107140,King Edward VII School,Community School,Applied GCE AS level Double Award,Health & Social Care,13,5,2,3,1,0,2,0,0,0,0
Bradford,107366,Tong High School,Foundation School,Applied GCE AS level Double Award,Applied ICT,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107441,Oakbank School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,9,0,0,0,0,0,3,1,3,1,1
Kirklees,107783,St John Fisher Catholic High School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,6,0,1,0,2,1,1,1,0,0,0
Leeds,108076,Roundhay School,Community School,Applied GCE AS level Double Award,Applied ICT,6,0,1,0,2,1,1,0,1,0,0
Leeds,108076,Roundhay School,Community School,Applied GCE AS level Double Award,Applied Science,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108076,Roundhay School,Community School,Applied GCE AS level Double Award,Health & Social Care,7,0,0,1,1,3,1,1,0,0,0
Leeds,108079,Pudsey Grangefield School,Foundation School,Applied GCE AS level Double Award,Applied Art & Design,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108079,Pudsey Grangefield School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,8,1,1,0,0,1,1,0,3,0,1
Leeds,108083,Benton Park School,Community School,Applied GCE AS level Double Award,Health & Social Care,9,0,0,2,3,2,1,0,0,1,0
Leeds,108087,Priesthorpe School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,8,0,0,0,0,1,4,2,1,0,0
Newcastle upon Tyne,108531,Heaton Manor School,Foundation School,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108531,Heaton Manor School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108639,George Stephenson High School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,6,0,0,0,1,4,0,0,1,0,0
North Tyneside,108647,"Seaton Burn College, A Specialist Business and Enterprise School",Foundation School,Applied GCE AS level Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sunderland,108870,St Robert of Newminster Roman Catholic School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,9,0,1,4,2,1,0,1,0,0,0
South Gloucestershire,109319,Brimsham Green School,Community School,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
