"Number of students entered for applied AS level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,130466,Birmingham Metropolitan College,General Further Education College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Birmingham,130466,Birmingham Metropolitan College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,130472,Henley College Coventry,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dudley,130475,Dudley College of Technology,General Further Education College,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,130482,"The Sixth Form College, Solihull",Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Walsall,130483,Walsall College,General Further Education College,Applied GCE AS level Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,Applied GCE AS level Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,130489,Carmel College,Further Education Sector Institution,Applied GCE AS level Double Award,Applied Business,12,4,2,2,2,1,0,1,0,0,0
St. Helens,130489,Carmel College,Further Education Sector Institution,Applied GCE AS level Double Award,Health & Social Care,28,4,7,6,7,0,2,1,1,0,0
Wirral,130493,Wirral Metropolitan College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,130504,Xaverian College,Further Education Sector Institution,Applied GCE AS level Double Award,Health & Social Care,47,4,3,4,13,10,10,2,1,0,0
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Art & Design,9,4,0,1,1,1,1,1,0,0,0
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,26,5,5,4,4,2,2,2,1,1,0
Rochdale,130507,Hopwood Hall College,Tertiary College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Stockport,130512,Stockport College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,7,0,0,0,0,0,0,3,3,1,0
Stockport,130514,Aquinas College,Further Education Sector Institution,Applied GCE AS level Double Award,Applied Business,23,1,3,4,5,2,6,2,0,0,0
Stockport,130515,Cheadle and Marple Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Art & Design,9,1,3,1,1,2,0,1,0,0,0
Stockport,130515,Cheadle and Marple Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied ICT,13,0,0,2,1,1,3,1,1,3,1
Barnsley,130524,Barnsley College,Tertiary College,Applied GCE AS level Double Award,Applied Science,23,0,0,0,0,1,3,3,8,5,3
Doncaster,130526,Doncaster College,General Further Education College,Applied GCE AS level Double Award,Applied ICT,7,0,0,0,1,0,0,3,1,2,0
Doncaster,130526,Doncaster College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,130527,Rotherham College of Arts and Technology,General Further Education College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sheffield,130531,The Sheffield College,Tertiary College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,130532,Bradford College,General Further Education College,Applied GCE AS level Double Award,Applied Science,12,0,0,0,0,3,3,1,3,2,0
Bradford,130532,Bradford College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Calderdale,130535,Calderdale College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,130548,Notre Dame Catholic Sixth Form College,Further Education Sector Institution,Applied GCE AS level Double Award,Applied Business,10,1,2,1,2,0,0,1,1,0,2
Leeds,130548,Notre Dame Catholic Sixth Form College,Further Education Sector Institution,Applied GCE AS level Double Award,Health & Social Care,24,0,0,4,4,4,6,2,2,1,1
Wakefield,130549,Wakefield College,General Further Education College,Applied GCE AS level Double Award,Applied ICT,28,1,1,5,5,3,2,5,5,1,0
Wakefield,130549,Wakefield College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,19,0,0,2,5,5,4,2,1,0,0
Wakefield,130550,New College Pontefract,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,Applied GCE AS level Double Award,Applied Business,6,1,3,1,0,1,0,0,0,0,0
Newcastle upon Tyne,130552,NCG,General Further Education College,Applied GCE AS level Double Award,Applied Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,130558,City of Bath College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,Applied GCE AS level Double Award,Applied ICT,16,0,2,2,0,6,4,0,2,0,0
Redcar and Cleveland,130573,Redcar & Cleveland College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,Applied GCE AS level Double Award,Health & Social Care,29,0,4,6,8,4,3,2,2,0,0
Stockton-on-Tees,130577,Stockton Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Business,15,2,1,1,2,1,3,4,1,0,0
Stockton-on-Tees,130577,Stockton Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,17,2,2,4,4,3,1,0,1,0,0
"Kingston upon Hull, City of",130579,Hull College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Kingston upon Hull, City of",130581,Wyke Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Science,14,0,0,4,1,2,4,2,1,0,0
North East Lincolnshire,130585,Grimsby Institute of Further and Higher Education,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North East Lincolnshire,130586,Franklin College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,24,3,4,6,1,3,3,4,0,0,0
North Lincolnshire,130588,John Leggott Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
York,130594,York College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bedford,130597,Bedford College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,130608,Amersham and Wycombe College,General Further Education College,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,130609,Milton Keynes College,General Further Education College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,Applied GCE AS level Double Award,Travel & Tourism,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warrington,130617,Warrington Collegiate,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire West and Chester,130618,West Cheshire College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warrington,130624,Priestley College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,67,0,0,6,13,13,16,9,9,1,0
Cumbria,130633,Furness College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,130634,Carlisle College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,130637,Barrow-in-Furness Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,9,0,3,4,0,1,0,0,0,0,1
Poole,130652,The Bournemouth and Poole College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Darlington,130656,Darlington College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Darlington,130662,Queen Elizabeth Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied ICT,16,1,4,1,1,1,5,1,1,1,0
Darlington,130662,Queen Elizabeth Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,31,3,2,4,6,6,3,2,4,1,0
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,130668,Varndean College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,10,1,0,1,0,3,0,3,0,1,1
Southend-on-Sea,130672,South Essex College of Further and  Higher Education,General Further Education College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,130679,Chelmsford College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Thurrock,130682,Palmer's College,Further Education Sector Institution,Applied GCE AS level Double Award,Applied ICT,19,0,3,0,4,1,4,3,3,1,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southampton,130696,Southampton City College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130700,Queen Mary's College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,12,3,0,3,0,1,3,0,0,1,1
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,30,3,2,5,2,3,7,4,3,1,0
Southampton,130704,Itchen College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,10,0,0,1,3,4,1,0,1,0,0
Southampton,130704,Itchen College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Travel & Tourism,17,1,1,3,4,5,3,0,0,0,0
Hampshire,130708,Peter Symonds College,Further Education Sector Institution,Applied GCE AS level Double Award,Applied Business,17,0,0,1,4,2,6,1,1,1,1
Hampshire,130708,Peter Symonds College,Further Education Sector Institution,Applied GCE AS level Double Award,Health & Social Care,17,1,0,4,3,1,3,2,2,1,0
"Herefordshire, County of",130718,Hereford Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Herefordshire, County of",130718,Hereford Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Travel & Tourism,7,1,1,3,1,1,0,0,0,0,0
Worcestershire,130719,Worcester Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,21,0,3,2,6,5,4,0,0,0,1
Hertfordshire,130722,Hertford Regional College,General Further Education College,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,130723,Oaklands College,General Further Education College,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,130725,North West Kent College of Technology,General Further Education College,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,130727,West Kent and Ashford College,General Further Education College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,130727,West Kent and Ashford College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,9,0,0,0,0,1,1,2,1,3,1
Kent,130730,Canterbury College,General Further Education College,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,130740,Preston College,Tertiary College,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicestershire,130748,Loughborough College,General Further Education College,Applied GCE AS level Double Award,Applied Business,14,2,3,3,1,2,2,1,0,0,0
Leicestershire,130750,South Leicestershire College,General Further Education College,Applied GCE AS level Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicestershire,130754,Brooksby Melton College,General Further Education College (Special),Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicester,130755,Gateway Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied ICT,9,0,0,0,3,3,1,1,1,0,0
Leicester,130755,Gateway Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,34,3,1,6,7,7,6,3,1,0,0
Lincolnshire,130760,New College Stamford,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,130764,Norwich City College of Further and Higher Education,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,130765,Great Yarmouth College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,130767,East Norfolk Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,17,0,1,2,0,3,4,4,2,1,0
Northamptonshire,130769,Northampton College,General Further Education College,Applied GCE AS level Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northamptonshire,130769,Northampton College,General Further Education College,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northumberland,130773,Northumberland College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Nottingham,130776,New College Nottingham,General Further Education College,Applied GCE AS level Double Award,Applied Art & Design,17,0,2,0,3,5,4,2,1,0,0
Nottingham,130776,New College Nottingham,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Telford and Wrekin,130801,New College Telford,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Business,19,2,2,1,6,1,3,0,3,0,1
Somerset,130804,Somerset College of Arts and Technology,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Somerset,130808,Richard Huish College,Further Education Sector Institution,Applied GCE AS level Double Award,Health & Social Care,16,0,1,2,4,3,1,2,1,2,0
Suffolk,130818,West Suffolk College,General Further Education College,Applied GCE AS level Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,130823,Guildford College of Further and Higher Education,General Further Education College,Applied GCE AS level Double Award,Applied Art & Design,6,2,1,1,1,0,0,1,0,0,0
Surrey,130830,Esher College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Art & Design,31,9,5,5,4,3,5,0,0,0,0
Surrey,130830,Esher College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,12,0,1,1,1,2,3,1,2,1,0
Surrey,130831,Woking College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Art & Design,13,2,0,1,2,3,2,1,1,0,1
West Sussex,130843,Chichester College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,130845,Worthing College,General Further Education College,Applied GCE AS level Double Award,Travel & Tourism,12,2,1,1,1,2,2,2,1,0,0
West Sussex,130847,The College of Richard Collyer In Horsham,Further Education Sector Institution,Applied GCE AS level Double Award,Health & Social Care,22,1,1,2,6,4,3,4,1,0,0
West Sussex,130847,The College of Richard Collyer In Horsham,Further Education Sector Institution,Applied GCE AS level Double Award,Travel & Tourism,16,2,1,5,3,4,0,1,0,0,0
Leicester,131863,Leicester College co Freemen's Park Campus,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,131864,Harrow College,General Further Education College,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,131864,Harrow College,General Further Education College,Applied GCE AS level Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,131864,Harrow College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,132762,Futures Community College,Foundation School,Applied GCE AS level Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,132779,Wiltshire College,General Further Education College,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,133435,Sussex Downs College,General Further Education College,Applied GCE AS level Double Award,Applied Art & Design,14,4,1,2,3,1,1,2,0,0,0
East Sussex,133435,Sussex Downs College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,25,0,3,3,4,7,3,1,2,1,1
Derby,133585,Derby College,Tertiary College,Applied GCE AS level Double Award,Applied Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derby,133585,Derby College,Tertiary College,Applied GCE AS level Double Award,Applied Science,19,0,0,0,2,3,4,5,1,1,3
Derby,133585,Derby College,Tertiary College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Walsall,133697,Walsall Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,133724,JFS,Voluntary Aided School,Applied GCE AS level Double Award,Applied Art & Design,10,1,2,3,3,1,0,0,0,0,0
Oxfordshire,134153,Activate Learning,General Further Education College,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hackney,134693,Mossbourne Community Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,6,0,0,0,0,1,1,1,3,0,0
Hillingdon,134797,Stockley Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,8,1,3,2,2,0,0,0,0,0,0
Hillingdon,134797,Stockley Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied ICT,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,134798,London Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,8,0,0,0,0,0,0,1,4,1,2
Northamptonshire,134814,Northampton Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sandwell,134993,Sandwell Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,9,0,2,3,2,0,2,0,0,0,0
Sandwell,134993,Sandwell Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied ICT,7,2,0,3,0,2,0,0,0,0,0
Sandwell,134993,Sandwell Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Science,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sandwell,134993,Sandwell Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Doncaster,135007,Trinity Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,7,3,0,0,3,0,0,1,0,0,0
Doncaster,135007,Trinity Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,7,0,0,1,2,0,0,2,0,2,0
Telford and Wrekin,135149,Madeley Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Peterborough,135263,Thomas Deacon Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,135297,The Leigh Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,9,0,0,2,2,1,0,1,0,1,2
Sefton,135387,South Sefton College,Foundation School,Applied GCE AS level Double Award,Health & Social Care,9,0,0,0,1,1,1,5,1,0,0
Croydon,135416,Harris Federation Post 16,Sixth Form Centre,Applied GCE AS level Double Award,Health & Social Care,19,0,0,2,2,5,1,4,5,0,0
Sheffield,135503,Forge Valley Community School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,15,0,0,1,3,3,4,3,1,0,0
Manchester,135524,The Manchester College,General Further Education College,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,135524,The Manchester College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lincolnshire,135565,The Priory Academy LSST,Sponsored Academy,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,135587,City of London Academy Islington,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Middlesbrough,135606,Trinity Catholic College,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,7,0,0,0,0,2,1,2,2,0,0
Cumbria,135621,Richard Rose Central Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,6,0,1,1,0,0,2,0,2,0,0
Kent,135630,Longfield Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,14,1,1,5,4,1,1,1,0,0,0
Essex,135651,New Rickstones Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,135652,Greensward Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,135653,Maltings Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,10,0,1,0,0,4,2,3,0,0,0
Rochdale,135659,Rochdale Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Business,16,2,4,1,4,4,1,0,0,0,0
Rochdale,135659,Rochdale Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied ICT,14,0,1,2,3,2,3,2,1,0,0
Rochdale,135659,Rochdale Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Applied Science,19,2,0,1,3,4,1,3,3,2,0
Rochdale,135659,Rochdale Sixth Form College,Sixth Form Centre / Consortia,Applied GCE AS level Double Award,Health & Social Care,50,6,9,10,9,6,5,5,0,0,0
Halton,135731,St Chads Catholic and Church of England High School,Voluntary Aided School,Applied GCE AS level Double Award,Applied Science,12,0,1,0,1,3,2,4,1,0,0
Leeds,135771,Leeds City  College,General Further Education College,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,135888,Skinners' Kent Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Science,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,135935,Leeds West Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,135958,Oasis Academy Hadley,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,15,3,0,1,1,4,3,3,0,0,0
Wakefield,135961,Outwood Grange Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied ICT,7,2,2,2,1,0,0,0,0,0,0
Northamptonshire,135967,Kettering Science Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,9,0,1,1,2,0,4,1,0,0,0
Leeds,135969,South Leeds Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,135969,South Leeds Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,135973,The Crest Academies,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,7,0,0,1,1,0,1,2,1,1,0
Brent,135974,The Crest Boys' Academy,Sponsored Academy,Applied GCE AS level Double Award,Applied Business,7,0,0,0,1,1,0,2,3,0,0
Rotherham,136042,Maltby Academy,Sponsored Academy,Applied GCE AS level Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
