"Number of students passing an OCR Cambridge national diploma or certificate by institution, subject and grade achieved",,,,,,,,,
,,,,,,,Grade achieved,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number passed,Distinction,Merit,Pass
South Gloucestershire,109322,The Grange School and Sports College,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Central Bedfordshire,109705,Manshead School,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
West Berkshire,110050,John O'Gaunt School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,6,4,2,0
Buckinghamshire,110490,The Misbourne School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,35,17,14,4
Milton Keynes,110532,The Radcliffe School,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Buckinghamshire,110533,The Cottesloe School,Foundation School,OCR National Certificate at Level 3,Business Studies,20,14,5,1
Buckinghamshire,110533,The Cottesloe School,Foundation School,OCR National Certificate at Level 3,Tourism,9,8,1,0
Cheshire West and Chester,111397,Queen's Park High School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Cornwall,112045,Budehaven Community School,Foundation School,OCR National Certificate at Level 3,Learning theory,1,Supp,Supp,Supp
Cornwall,112054,Redruth School,Foundation School,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Cornwall,112054,Redruth School,Foundation School,OCR National Diploma at Level 3,Sports Studies,7,4,3,0
Cumbria,112379,The Lakes School,Community School,OCR National Diploma at Level 3,Tourism,2,Supp,Supp,Supp
Cumbria,112382,Netherhall School,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,7,4,3,0
Cumbria,112393,Ullswater Community College,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,15,3,9,3
Cumbria,112394,Southfield Technology College,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Cumbria,112395,Stainburn School and Science College,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,15,8,5,2
Derbyshire,112935,Wilsthorpe Community School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Plymouth,113558,St Boniface's RC College,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Devon,113604,Kingsley School,Independent School,OCR National Certificate at Level 3,Tourism,3,Supp,Supp,Supp
Dorset,113854,Ferndown Upper School,Community School,OCR National Certificate at Level 3,Sports Studies,7,7,0,0
Dorset,113902,Budmouth College,Foundation School,OCR National Certificate at Level 3,Business Studies,1,Supp,Supp,Supp
Hertfordshire,117519,Simon Balle School,Foundation School,OCR National Certificate at Level 3,Business Studies,6,5,1,0
Hertfordshire,117519,Simon Balle School,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,16,14,2,0
Hertfordshire,117531,Turnford School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Hertfordshire,117538,Sheredes School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,19,10,7,2
East Riding of Yorkshire,118078,Driffield School and Sixth Form,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
East Riding of Yorkshire,118085,Headlands School and Community Science College,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
North Lincolnshire,118109,Baysgarth School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,6,2,2,2
North Lincolnshire,118109,Baysgarth School,Community School,OCR National Diploma at Level 3,Computer Appreciation / Introduction,7,1,6,0
Kent,118788,Northfleet School for Girls,Foundation School,OCR National Certificate at Level 3,Learning theory,2,Supp,Supp,Supp
Kent,118793,Swadelands School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,OCR National Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,OCR National Certificate at Level 3,Tourism,2,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,OCR National Diploma at Level 3,Tourism,2,Supp,Supp,Supp
Kent,118930,Pent Valley Technology College,Foundation School,OCR National Certificate at Level 3,Business Studies,8,3,5,0
Kent,118930,Pent Valley Technology College,Foundation School,OCR National Certificate at Level 3,Learning theory,4,Supp,Supp,Supp
Kent,118933,St John's Catholic Comprehensive,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Lancashire,119711,Heysham High School Sports College,Community School,OCR National Certificate at Level 3,Business Studies,1,Supp,Supp,Supp
Lancashire,119722,Alder Grange Community and Technology School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Lancashire,119744,Carr Hill High School and Sixth Form Centre,Community School,OCR National Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Blackpool,119778,St Mary's Catholic College,Voluntary Aided School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Leicester,120297,The City of Leicester College,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,6,0,2,4
Leicester,120297,The City of Leicester College,Community School,OCR National Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Northamptonshire,122066,The Latimer Arts College,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,16,15,1,0
Northamptonshire,122066,The Latimer Arts College,Foundation School,OCR National Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Northumberland,122351,Prudhoe Community High School,Community School,OCR National Certificate at Level 3,Sports Studies,2,Supp,Supp,Supp
Northumberland,122351,Prudhoe Community High School,Community School,OCR National Diploma at Level 3,Sports Studies,3,Supp,Supp,Supp
Northumberland,122351,Prudhoe Community High School,Community School,OCR National Extended Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp
Northumberland,122362,The Duchess's Community High School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Nottinghamshire,122830,Garibaldi College,Community School,OCR National Certificate at Level 3,Sports Studies,6,5,1,0
Shropshire,123589,"The Thomas Adams School, Wem",Voluntary Controlled School,OCR National Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp
Shropshire,123589,"The Thomas Adams School, Wem",Voluntary Controlled School,OCR National Certificate at Level 3,Learning theory,1,Supp,Supp,Supp
Staffordshire,124392,"Paget High School, Business and Enterprise College",Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,21,8,6,7
Staffordshire,124400,Codsall Community High School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,12,5,6,1
Staffordshire,124400,Codsall Community High School,Community School,OCR National Certificate at Level 3,Learning theory,10,8,0,2
Staffordshire,124400,Codsall Community High School,Community School,OCR National Diploma at Level 3,Learning theory,7,4,3,0
Staffordshire,124400,Codsall Community High School,Community School,OCR National Extended Diploma at Level 3,Learning theory,2,Supp,Supp,Supp
Staffordshire,124408,King Edward VI School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Staffordshire,124416,Walton High School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,9,6,3,0
Staffordshire,124419,Ounsdale High School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Staffordshire,124419,Ounsdale High School,Community School,OCR National Diploma at Level 3,Computer Appreciation / Introduction,8,5,3,0
Staffordshire,124422,The Friary School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
