"Number of students passing an OCR Cambridge national diploma or certificate by institution, subject and grade achieved",,,,,,,,,
,,,,,,,Grade achieved,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number passed,Distinction,Merit,Pass
South Gloucestershire,135295,John Cabot Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Rochdale,135313,St Anne's Church of England Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Rochdale,135313,St Anne's Church of England Academy,Sponsored Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Oxfordshire,135365,North Oxfordshire Academy,Sponsored Academy,OCR National Certificate at Level 3,Business Studies,2,Supp,Supp,Supp
Oxfordshire,135365,North Oxfordshire Academy,Sponsored Academy,OCR National Diploma at Level 3,Business Studies,7,6,1,0
Bradford,135367,Bradford Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,39,10,13,16
Newcastle upon Tyne,135423,Excelsior Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,13,3,8,2
Newcastle upon Tyne,135423,Excelsior Academy,Sponsored Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Croydon,135654,Oasis Academy Coulsdon,Sponsored Academy,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Staffordshire,135658,South Staffordshire College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
"Herefordshire, County of",135662,The Hereford Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,6,0,0,6
Leeds,135771,Leeds City  College,General Further Education College,OCR National Certificate at Level 3,Business Studies,1,Supp,Supp,Supp
Leeds,135771,Leeds City  College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Northumberland,135886,Northumberland CofE Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Northumberland,135886,Northumberland CofE Academy,Sponsored Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,12,5,7,0
Lancashire,135936,Fulwood Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,10,5,5,0
Central Bedfordshire,135946,All Saints Academy Dunstable,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Doncaster,135963,Outwood Academy Adwick,Sponsored Academy,OCR National Certificate at Level 3,Business Studies,9,8,1,0
Doncaster,135963,Outwood Academy Adwick,Sponsored Academy,OCR National Diploma at Level 3,Business Studies,7,7,0,0
Doncaster,135963,Outwood Academy Adwick,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,9,9,0,0
Doncaster,135963,Outwood Academy Adwick,Sponsored Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,11,10,1,0
Northamptonshire,135967,Kettering Science Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Solihull,135971,Park Hall Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Brent,135974,The Crest Boys' Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Sandwell,135979,Ormiston Sandwell Community Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Peterborough,135980,Ormiston Bushfield Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,7,3,3,1
Isle of Wight,136012,Carisbrooke College,Foundation School,OCR National Certificate at Level 3,Learning theory,1,Supp,Supp,Supp
Birmingham,136032,North Birmingham Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Birmingham,136032,North Birmingham Academy,Sponsored Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,11,4,5,2
Rotherham,136042,Maltby Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,13,5,7,1
Lincolnshire,136044,St George's Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Sandwell,136091,The Phoenix Collegiate,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Medway,136107,Brompton Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Medway,136107,Brompton Academy,Sponsored Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,7,3,2,2
Medway,136107,Brompton Academy,Sponsored Academy,OCR National Extended Diploma at Level 3,Computer Appreciation / Introduction,7,3,1,3
Medway,136108,Bishop of Rochester Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Kent,136128,Knole Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,17,16,1,0
Staffordshire,141491,Landau Forte Sixth Form College,Academy 16-19 Sponsor Led,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Manchester,136174,The Co-operative Academy of Manchester,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Kent,136175,Dover Christ Church Academy,Sponsored Academy,OCR National Certificate at Level 3,Business Studies,1,Supp,Supp,Supp
Kent,136175,Dover Christ Church Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Wolverhampton,136182,North East Wolverhampton Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Northamptonshire,136201,Malcolm Arnold Academy,Sponsored Academy,OCR National Certificate at Level 3,Sports Studies,7,5,1,1
Northamptonshire,136201,Malcolm Arnold Academy,Sponsored Academy,OCR National Diploma at Level 3,Sports Studies,7,3,3,1
Norfolk,136204,The Thetford Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Kent,136300,Castle Community College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Solihull,136347,John Henry Newman Catholic College,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,8,0,6,2
Kent,136349,The Hayesbrook School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Bromley,136355,Darrick Wood School,Converter Academy,OCR National Certificate at Level 3,Learning theory,5,Supp,Supp,Supp
Bromley,136355,Darrick Wood School,Converter Academy,OCR National Diploma at Level 3,Learning theory,3,Supp,Supp,Supp
Lincolnshire,136358,Branston Community Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,14,8,6,0
Lincolnshire,136358,Branston Community Academy,Converter Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,8,4,1,3
Devon,136367,Kingsbridge Academy,Converter Academy,OCR National Diploma at Level 3,Film / Video / Television Production,5,Supp,Supp,Supp
Devon,136367,Kingsbridge Academy,Converter Academy,OCR National Extended Diploma at Level 3,Film / Video / Television Production,12,11,1,0
"Herefordshire, County of",136399,John Kyrle High School and Sixth Form Centre Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Bromley,136467,Chislehurst School for Girls,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,17,4,6,7
Bromley,136467,Chislehurst School for Girls,Converter Academy,OCR National Certificate at Level 3,Learning theory,8,1,7,0
Bromley,136467,Chislehurst School for Girls,Converter Academy,OCR National Diploma at Level 3,Learning theory,11,3,7,1
Bromley,136467,Chislehurst School for Girls,Converter Academy,OCR National Certificate at Level 3,Tourism,3,Supp,Supp,Supp
Bromley,136467,Chislehurst School for Girls,Converter Academy,OCR National Diploma at Level 3,Tourism,5,Supp,Supp,Supp
Milton Keynes,136468,Denbigh School,Converter Academy,OCR National Certificate at Level 3,Business Studies,8,5,2,1
Milton Keynes,136468,Denbigh School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,7,2,3,2
Northamptonshire,136488,Sponne School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
North Yorkshire,136497,Harrogate Grammar School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,7,4,2,1
Cornwall,136524,Camborne Science and International Academy,Converter Academy,OCR National Certificate at Level 3,Public Services,6,3,2,1
Cornwall,136524,Camborne Science and International Academy,Converter Academy,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Cornwall,136524,Camborne Science and International Academy,Converter Academy,OCR National Diploma at Level 3,Sports Studies,4,Supp,Supp,Supp
Cornwall,136533,Newquay Tretherras,Converter Academy,OCR National Diploma at Level 3,Tourism,1,Supp,Supp,Supp
Cornwall,136533,Newquay Tretherras,Converter Academy,OCR National Extended Diploma at Level 3,Tourism,1,Supp,Supp,Supp
Bromley,136545,Charles Darwin School,Converter Academy,OCR National Certificate at Level 3,Learning theory,1,Supp,Supp,Supp
Plymouth,136557,Hele's Trust,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,7,1,6,0
Plymouth,136557,Hele's Trust,Converter Academy,OCR National Certificate at Level 3,Film / Video / Television Production,11,8,2,1
Plymouth,136557,Hele's Trust,Converter Academy,OCR National Certificate at Level 3,Public Services,4,Supp,Supp,Supp
Plymouth,136557,Hele's Trust,Converter Academy,OCR National Certificate at Level 3,Tourism,6,5,1,0
Central Bedfordshire,136559,Redborne Upper School and Community College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,31,6,17,8
Central Bedfordshire,136559,Redborne Upper School and Community College,Converter Academy,OCR National Certificate at Level 3,Sports Studies,10,7,3,0
Central Bedfordshire,136559,Redborne Upper School and Community College,Converter Academy,OCR National Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp
Plymouth,136568,Plymstock School,Converter Academy,OCR National Certificate at Level 3,Public Services,1,Supp,Supp,Supp
Kent,136583,Towers School and Sixth Form Centre,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Kent,136583,Towers School and Sixth Form Centre,Converter Academy,OCR National Certificate at Level 3,Tourism,2,Supp,Supp,Supp
Hertfordshire,136609,Sandringham School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Devon,136612,Exmouth Community College,Converter Academy,OCR National Certificate at Level 3,Film / Video / Television Production,7,0,2,5
Devon,136612,Exmouth Community College,Converter Academy,OCR National Diploma at Level 3,Film / Video / Television Production,4,Supp,Supp,Supp
Dudley,136618,Windsor High School and Sixth Form,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,9,8,1,0
Cumbria,136671,Kirkbie Kendal School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,7,4,2,1
Cumbria,136671,Kirkbie Kendal School,Converter Academy,OCR National Certificate at Level 3,Learning theory,1,Supp,Supp,Supp
Cumbria,136671,Kirkbie Kendal School,Converter Academy,OCR National Diploma at Level 3,Learning theory,9,7,2,0
Cumbria,136671,Kirkbie Kendal School,Converter Academy,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Cumbria,136671,Kirkbie Kendal School,Converter Academy,OCR National Diploma at Level 3,Sports Studies,5,Supp,Supp,Supp
Hillingdon,136711,Queensmead School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,16,12,4,0
Hillingdon,136711,Queensmead School,Converter Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,14,11,3,0
Derbyshire,136716,The Long Eaton School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,10,9,1,0
North Yorkshire,136728,Norton College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,6,3,2,1
North Yorkshire,136728,Norton College,Converter Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,14,2,3,9
Isle of Wight,136753,Ryde Academy,Sponsored Academy,OCR National Certificate at Level 3,Learning theory,2,Supp,Supp,Supp
Essex,136758,West Hatch High School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,8,6,2,0
Dorset,136763,Highcliffe School,Converter Academy,OCR National Diploma at Level 3,Sports Studies,6,0,2,4
Hillingdon,136768,Uxbridge High School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
"Herefordshire, County of",136803,John Masefield High School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,18,10,8,0
Birmingham,136882,Aston Manor Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Devon,136912,Honiton Community College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
East Riding of Yorkshire,136921,Cottingham High School and Sixth Form College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Worcestershire,136924,Woodrush Community High School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Coventry,136963,Finham Park School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,24,19,4,1
Bath and North East Somerset,136966,Hayesfield Girls School,Converter Academy,OCR National Certificate at Level 3,Public Services,1,Supp,Supp,Supp
Cambridgeshire,136992,Longsands Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Hounslow,137009,Rivers Academy West London,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,12,4,7,1
Hounslow,137009,Rivers Academy West London,Converter Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,9,3,6,0
Wakefield,137011,"Minsthorpe Community College, A Specialist Science College",Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Essex,137048,Mayflower High School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Northamptonshire,137049,Montsaye Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Brighton and Hove,137063,Portslade Aldridge Community Academy,Sponsored Academy,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Staffordshire,137100,Fair Oak Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,10,8,2,0
Staffordshire,137103,Hagley Park Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,15,9,5,1
Nottinghamshire,137112,South Nottinghamshire Academy,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Devon,137124,Newton Abbot College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,10,4,4,2
Plymouth,137206,Tor Bridge High,Converter Academy,OCR National Certificate at Level 3,Art & Design,1,Supp,Supp,Supp
Essex,137240,The Sandon School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,18,12,6,0
Cambridgeshire,137248,St Peter's School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Cambridgeshire,137248,St Peter's School,Converter Academy,OCR National Certificate at Level 3,Sports Studies,14,12,2,0
East Riding of Yorkshire,137306,Hessle High School and Sixth Form College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,17,13,4,0
Manchester,137309,The King David High School,Converter Academy,OCR National Certificate at Level 3,Business Studies,9,9,0,0
Manchester,137309,The King David High School,Converter Academy,OCR National Diploma at Level 3,Business Studies,3,Supp,Supp,Supp
Manchester,137309,The King David High School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Barnet,137374,The Totteridge Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,8,4,3,1
Leeds,137383,Woodkirk Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
North Yorkshire,137412,Outwood Academy Ripon,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Northumberland,137457,Cramlington Learning Village,Converter Academy,OCR National Certificate at Level 3,Sports Studies,6,2,2,2
Northumberland,137457,Cramlington Learning Village,Converter Academy,OCR National Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp
Northumberland,137457,Cramlington Learning Village,Converter Academy,OCR National Extended Diploma at Level 3,Sports Studies,5,Supp,Supp,Supp
Kent,137458,Brockhill Park Performing Arts College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Kent,137458,Brockhill Park Performing Arts College,Converter Academy,OCR National Certificate at Level 3,Learning theory,4,Supp,Supp,Supp
Doncaster,137472,Don Valley Academy,Converter Academy,OCR National Diploma at Level 3,Learning theory,1,Supp,Supp,Supp
Kent,137484,Homewood School and Sixth Form Centre,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Sefton,137514,Chesterfield High School,Converter Academy,OCR National Certificate at Level 3,Business Studies,1,Supp,Supp,Supp
Sefton,137520,Maghull High School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Sefton,137520,Maghull High School,Converter Academy,OCR National Certificate at Level 3,Tourism,1,Supp,Supp,Supp
Hertfordshire,137532,Goffs School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Bath and North East Somerset,137548,Writhlington School,Converter Academy,OCR National Certificate at Level 3,Business Studies,3,Supp,Supp,Supp
Staffordshire,137553,The Weston Road Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Northumberland,137598,Berwick Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,6,0,4,2
Essex,137619,Philip Morant School and College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Darlington,137622,Carmel College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Leeds,137704,Otley Prince Henry's Grammar School Specialist Language College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Walsall,137707,The Streetly Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Wolverhampton,137730,Heath Park,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,36,14,21,1
Leeds,137775,Horsforth School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,31,23,7,1
Cambridgeshire,137779,Ely College,Converter Academy,OCR National Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp
Cambridgeshire,137779,Ely College,Converter Academy,OCR National Extended Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp
Redcar and Cleveland,137816,Eston Park Academy,Converter Academy,OCR National Diploma at Level 3,Business Studies,1,Supp,Supp,Supp
Hillingdon,137829,Northwood School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Nottinghamshire,137857,Quarrydale School,Converter Academy,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Hertfordshire,137895,The John Henry Newman Catholic School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,6,0,2,4
Hertfordshire,137938,Nicholas Breakspear Catholic School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Nottinghamshire,137981,Ashfield Comprehensive School,Converter Academy,OCR National Certificate at Level 3,Tourism,7,2,2,3
Oxfordshire,137993,Faringdon Community College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Cheshire East,138002,Knutsford Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Cheshire East,138002,Knutsford Academy,Converter Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Cornwall,138024,Wadebridge School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,10,4,6,0
Medway,138046,Greenacre School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Wolverhampton,138098,Moseley Park,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,9,2,5,2
County Durham,138172,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,8,8,0,0
Croydon,138178,Riddlesdown Collegiate,Converter Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Croydon,138178,Riddlesdown Collegiate,Converter Academy,OCR National Extended Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Leeds,138336,Rodillian Academy,Converter Academy,OCR National Certificate at Level 3,Business Studies,10,10,0,0
Leeds,138336,Rodillian Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,19,13,6,0
Bournemouth,138385,Leaf Studio,Free School – Studio School,OCR National Extended Diploma at Level 3,Learning theory,6,4,2,0
Bath and North East Somerset,138394,Bath Community Academy,Sponsored Academy,OCR National Diploma at Level 3,Public Services,1,Supp,Supp,Supp
Bath and North East Somerset,138394,Bath Community Academy,Sponsored Academy,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Medway,138511,The Robert Napier School,Sponsored Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,14,3,7,4
Trafford,138614,Altrincham College of Arts,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Trafford,138614,Altrincham College of Arts,Converter Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Wiltshire,138630,Devizes School,Converter Academy,OCR National Diploma at Level 3,Sports Studies,9,9,0,0
Nottinghamshire,138832,Alderman White School and Language College,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,17,9,8,0
Nottinghamshire,139063,Sutton Community Academy,Sponsored Academy,OCR National Certificate at Level 3,Sports Studies,6,0,5,1
Lincolnshire,139168,Sir John Gleed School,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Lincolnshire,139168,Sir John Gleed School,Converter Academy,OCR National Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp
Norfolk,139204,Downham Market Academy,Sponsored Academy,OCR National Certificate at Level 3,Business Studies,28,15,8,5
Norfolk,139204,Downham Market Academy,Sponsored Academy,OCR National Diploma at Level 3,Business Studies,15,5,5,5
Norfolk,139204,Downham Market Academy,Sponsored Academy,OCR National Certificate at Level 3,Tourism,12,5,5,2
Leeds,139351,"St. Mary's Menston, a Catholic Voluntary Academy",Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp
Sunderland,139538,St Aidan's Catholic Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Suffolk,139867,Mildenhall College Academy,Converter Academy,OCR National Certificate at Level 3,Business Studies,1,Supp,Supp,Supp
Suffolk,139867,Mildenhall College Academy,Converter Academy,OCR National Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Newcastle upon Tyne,140081,St Mary's Catholic School,Converter Academy,OCR National Certificate at Level 3,Business Studies,13,9,3,1
