"Number of students entered for applied A level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A*A*,Grade A*A,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
Lewisham,130416,Christ The King Sixth Form College,Further Education Sector Institution,Applied GCE Double Award,Health & Social Care,22,0,0,0,2,5,2,2,1,5,3,2,0
Camden,130421,Westminster Kingsway College,General Further Education College,Applied GCE Double Award,Applied Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Camden,130421,Westminster Kingsway College,General Further Education College,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,130427,Woodhouse College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Business,19,1,2,4,3,2,2,1,0,2,2,0,0
Barnet,130427,Woodhouse College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied ICT,9,0,0,0,0,1,2,0,2,2,0,2,0
Havering,130445,Havering Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Science,8,0,0,0,0,0,0,1,0,0,6,1,0
Havering,130445,Havering Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,24,0,0,0,0,1,10,5,5,2,1,0,0
Redbridge,130453,Redbridge College,General Further Education College,Applied GCE Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,130481,Solihull College,General Further Education College,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Knowsley,130486,Knowsley Community College,Tertiary College,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,Applied GCE Double Award,Applied Business,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,130489,Carmel College,Further Education Sector Institution,Applied GCE Double Award,Applied Business,11,0,2,0,3,2,3,1,0,0,0,0,0
St. Helens,130489,Carmel College,Further Education Sector Institution,Applied GCE Double Award,Health & Social Care,26,0,0,2,0,7,7,6,2,1,1,0,0
Wirral,130494,Birkenhead Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,130504,Xaverian College,Further Education Sector Institution,Applied GCE Double Award,Health & Social Care,42,1,3,0,3,9,6,12,5,3,0,0,0
Oldham,130505,The Oldham College,General Further Education College,Applied GCE Double Award,Applied Art & Design,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,130505,The Oldham College,General Further Education College,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Art & Design,9,1,0,1,1,2,1,1,1,1,0,0,0
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,25,0,0,1,6,6,5,4,1,2,0,0,0
Stockport,130512,Stockport College,General Further Education College,Applied GCE Double Award,Applied Art & Design,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Stockport,130512,Stockport College,General Further Education College,Applied GCE Double Award,Health & Social Care,10,0,0,0,0,0,0,1,4,2,2,0,1
Stockport,130514,Aquinas College,Further Education Sector Institution,Applied GCE Double Award,Applied Business,25,0,0,1,4,1,6,6,2,4,0,0,1
Stockport,130515,Cheadle and Marple Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Art & Design,9,0,0,0,0,2,1,3,2,1,0,0,0
Stockport,130515,Cheadle and Marple Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied ICT,8,0,0,0,0,0,1,0,2,1,1,2,1
Barnsley,130524,Barnsley College,Tertiary College,Applied GCE Double Award,Applied Science,17,0,0,0,0,0,0,0,1,5,2,7,2
Doncaster,130526,Doncaster College,General Further Education College,Applied GCE Double Award,Applied ICT,8,0,0,0,0,0,1,0,1,1,4,0,1
Bradford,130532,Bradford College,General Further Education College,Applied GCE Double Award,Applied Science,9,0,0,0,0,0,0,1,3,2,1,0,2
Bradford,130532,Bradford College,General Further Education College,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,130548,Notre Dame Catholic Sixth Form College,Further Education Sector Institution,Applied GCE Double Award,Applied Business,6,0,1,1,1,1,1,1,0,0,0,0,0
Leeds,130548,Notre Dame Catholic Sixth Form College,Further Education Sector Institution,Applied GCE Double Award,Health & Social Care,14,0,0,0,0,1,4,4,3,2,0,0,0
Wakefield,130549,Wakefield College,General Further Education College,Applied GCE Double Award,Applied ICT,28,0,0,0,0,0,4,1,3,5,4,5,6
Wakefield,130549,Wakefield College,General Further Education College,Applied GCE Double Award,Health & Social Care,19,0,0,0,0,0,4,5,4,4,2,0,0
Wakefield,130550,New College Pontefract,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,Applied GCE Double Award,Applied Business,6,2,2,0,0,1,0,1,0,0,0,0,0
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,Applied GCE Double Award,Applied ICT,10,0,0,0,0,2,1,1,3,3,0,0,0
Middlesbrough,130571,Cleveland College of Art and Design,"Art, Design and Performing Art College",Applied GCE Double Award,Applied Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,Applied GCE Double Award,Health & Social Care,35,0,0,1,6,7,9,5,4,1,2,0,0
Stockton-on-Tees,130577,Stockton Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Business,15,0,0,1,1,1,1,1,1,6,0,3,0
Stockton-on-Tees,130577,Stockton Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,13,0,3,1,0,4,2,2,1,0,0,0,0
"Kingston upon Hull, City of",130581,Wyke Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Science,8,0,0,0,0,0,4,2,2,0,0,0,0
North East Lincolnshire,130586,Franklin College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,27,0,2,3,4,5,3,4,2,2,2,0,0
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,Applied GCE Double Award,Applied Art & Design,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,Applied GCE Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warrington,130624,Priestley College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,68,0,0,0,5,5,19,9,9,8,9,3,1
Cumbria,130634,Carlisle College,General Further Education College,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,130637,Barrow-in-Furness Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,8,0,0,0,2,4,1,1,0,0,0,0,0
Darlington,130662,Queen Elizabeth Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied ICT,16,0,0,1,2,0,3,0,2,5,2,0,1
Darlington,130662,Queen Elizabeth Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,28,0,3,0,2,2,7,6,1,2,3,2,0
Darlington,130662,Queen Elizabeth Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Travel & Tourism,10,0,0,1,1,0,4,3,0,0,1,0,0
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,Applied GCE Double Award,Applied Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,130668,Varndean College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,9,0,0,1,0,1,0,0,1,4,2,0,0
Thurrock,130682,Palmer's College,Further Education Sector Institution,Applied GCE Double Award,Applied ICT,13,0,0,0,1,1,2,2,1,1,4,1,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,130700,Queen Mary's College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,10,0,3,0,0,2,1,0,3,1,0,0,0
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,27,0,1,0,4,4,2,1,7,6,0,2,0
Southampton,130704,Itchen College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,9,0,0,0,0,1,1,3,2,1,0,1,0
Southampton,130704,Itchen College,Sixth Form Centre / Consortia,Applied GCE Double Award,Travel & Tourism,14,0,0,0,1,2,4,5,1,1,0,0,0
Hampshire,130708,Peter Symonds College,Further Education Sector Institution,Applied GCE Double Award,Applied Business,16,0,0,0,0,2,4,6,1,1,1,1,0
Hampshire,130708,Peter Symonds College,Further Education Sector Institution,Applied GCE Double Award,Health & Social Care,17,0,1,0,0,2,5,1,4,1,2,0,1
"Herefordshire, County of",130718,Hereford Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Travel & Tourism,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Worcestershire,130719,Worcester Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,20,0,0,0,2,3,4,2,5,3,1,0,0
Kent,130727,West Kent and Ashford College,General Further Education College,Applied GCE Double Award,Health & Social Care,8,0,0,0,0,0,1,0,1,1,2,1,2
Leicestershire,130748,Loughborough College,General Further Education College,Applied GCE Double Award,Applied Business,13,0,0,2,0,2,2,3,1,2,1,0,0
Leicester,130755,Gateway Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied ICT,8,0,0,0,0,0,0,2,2,1,2,0,1
Leicester,130755,Gateway Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,31,0,0,1,0,5,4,8,5,4,3,0,1
Norfolk,130767,East Norfolk Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,16,0,0,0,0,1,2,2,2,5,2,0,2
Northumberland,130773,Northumberland College,General Further Education College,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Nottingham,130776,New College Nottingham,General Further Education College,Applied GCE Double Award,Applied Art & Design,16,0,0,1,1,2,2,4,2,3,1,0,0
Telford and Wrekin,130801,New College Telford,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Business,17,0,2,0,2,1,2,3,2,2,0,2,1
Somerset,130808,Richard Huish College,Further Education Sector Institution,Applied GCE Double Award,Health & Social Care,13,0,1,0,1,1,4,3,0,0,0,3,0
Surrey,130823,Guildford College of Further and Higher Education,General Further Education College,Applied GCE Double Award,Applied Art & Design,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,130830,Esher College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Art & Design,30,3,0,3,5,4,5,5,2,3,0,0,0
Surrey,130830,Esher College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,10,0,0,0,1,0,1,1,2,1,2,2,0
Surrey,130831,Woking College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Art & Design,12,0,2,0,2,1,2,3,2,0,0,0,0
West Sussex,130845,Worthing College,General Further Education College,Applied GCE Double Award,Travel & Tourism,10,0,0,2,1,0,1,1,2,1,1,1,0
West Sussex,130847,The College of Richard Collyer In Horsham,Further Education Sector Institution,Applied GCE Double Award,Health & Social Care,21,0,2,0,2,1,5,4,1,4,2,0,0
West Sussex,130847,The College of Richard Collyer In Horsham,Further Education Sector Institution,Applied GCE Double Award,Travel & Tourism,11,0,1,1,2,2,3,2,0,0,0,0,0
County Durham,131859,East Durham College,General Further Education College,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicester,131863,Leicester College co Freemen's Park Campus,General Further Education College,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,133435,Sussex Downs College,General Further Education College,Applied GCE Double Award,Applied Art & Design,12,1,1,1,1,4,2,1,1,0,0,0,0
East Sussex,133435,Sussex Downs College,General Further Education College,Applied GCE Double Award,Health & Social Care,21,0,0,0,0,5,4,4,4,2,1,0,1
Derby,133585,Derby College,Tertiary College,Applied GCE Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derby,133585,Derby College,Tertiary College,Applied GCE Double Award,Applied Science,11,0,0,0,0,0,1,0,2,7,1,0,0
Walsall,133697,Walsall Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Walsall,133697,Walsall Academy,Sponsored Academy,Applied GCE Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,133724,JFS,Voluntary Aided School,Applied GCE Double Award,Applied Art & Design,10,0,0,2,0,5,2,1,0,0,0,0,0
Hackney,134693,Mossbourne Community Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,6,0,0,0,0,0,0,2,1,1,0,2,0
Hillingdon,134797,Stockley Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,8,0,3,0,2,2,1,0,0,0,0,0,0
Hillingdon,134797,Stockley Academy,Sponsored Academy,Applied GCE Double Award,Applied ICT,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,134798,London Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,10,0,0,0,0,0,0,1,4,4,0,1,0
Sandwell,134993,Sandwell Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,9,0,2,0,4,2,1,0,0,0,0,0,0
Sandwell,134993,Sandwell Academy,Sponsored Academy,Applied GCE Double Award,Applied ICT,7,0,0,0,0,2,3,1,1,0,0,0,0
Sandwell,134993,Sandwell Academy,Sponsored Academy,Applied GCE Double Award,Applied Science,6,0,0,0,0,0,1,1,1,0,1,2,0
Sandwell,134993,Sandwell Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Doncaster,135007,Trinity Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,6,0,1,1,1,0,3,0,0,0,0,0,0
Doncaster,135007,Trinity Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,9,0,0,1,1,2,2,0,1,1,0,1,0
Telford and Wrekin,135149,Madeley Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Peterborough,135263,Thomas Deacon Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,135297,The Leigh Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,7,0,0,0,0,1,2,1,1,1,0,1,0
Sefton,135387,South Sefton College,Foundation School,Applied GCE Double Award,Health & Social Care,7,0,0,0,0,0,0,1,3,1,0,2,0
Croydon,135416,Harris Federation Post 16,Sixth Form Centre,Applied GCE Double Award,Health & Social Care,19,0,0,0,0,1,3,4,1,5,4,1,0
Sheffield,135503,Forge Valley Community School,Foundation School,Applied GCE Double Award,Health & Social Care,15,0,0,0,0,1,0,4,6,1,2,0,1
Islington,135587,City of London Academy Islington,Sponsored Academy,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Middlesbrough,135606,Trinity Catholic College,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,7,0,0,0,0,0,0,2,0,4,1,0,0
Cumbria,135621,Richard Rose Central Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,135630,Longfield Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,14,0,0,0,1,1,4,3,2,2,1,0,0
Essex,135652,Greensward Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,135653,Maltings Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,11,0,0,0,2,0,1,4,2,2,0,0,0
Rochdale,135659,Rochdale Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Business,16,0,0,2,4,1,3,4,1,1,0,0,0
Rochdale,135659,Rochdale Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied ICT,14,0,0,0,0,3,2,3,2,2,2,0,0
Rochdale,135659,Rochdale Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Applied Science,16,0,0,0,2,0,3,2,0,6,0,2,1
Rochdale,135659,Rochdale Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,50,0,0,5,10,9,13,8,3,1,1,0,0
Halton,135731,St Chads Catholic and Church of England High School,Voluntary Aided School,Applied GCE Double Award,Applied Science,11,0,0,0,0,0,0,1,3,2,2,1,2
Leeds,135771,Leeds City  College,General Further Education College,Applied GCE Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,135863,Suffolk One,Foundation School,Applied GCE Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,135888,Skinners' Kent Academy,Sponsored Academy,Applied GCE Double Award,Applied Science,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,135935,Leeds West Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,135958,Oasis Academy Hadley,Sponsored Academy,Applied GCE Double Award,Applied Business,14,0,0,1,1,2,1,2,1,5,0,1,0
Wakefield,135961,Outwood Grange Academy,Sponsored Academy,Applied GCE Double Award,Applied ICT,8,0,1,0,1,1,3,1,1,0,0,0,0
Northamptonshire,135967,Kettering Science Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,7,0,0,0,1,2,1,1,2,0,0,0,0
Leeds,135969,South Leeds Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,135969,South Leeds Academy,Sponsored Academy,Applied GCE Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,135973,The Crest Academies,Sponsored Academy,Applied GCE Double Award,Applied Business,7,0,0,0,0,0,2,0,0,3,1,1,0
Brent,135974,The Crest Boys' Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,7,0,0,0,0,0,0,1,1,2,2,1,0
Rotherham,136042,Maltby Academy,Sponsored Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sandwell,136091,The Phoenix Collegiate,Foundation School,Applied GCE Double Award,Applied Business,12,0,4,0,2,1,1,0,1,2,1,0,0
Suffolk,136255,Lowestoft Sixth Form College,Sixth Form Centre / Consortia,Applied GCE Double Award,Health & Social Care,8,0,0,0,0,1,1,3,3,0,0,0,0
Peterborough,136266,Arthur Mellows Village College,Converter Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Redbridge,136267,Chadwell Heath Academy,Converter Academy,Applied GCE Double Award,Applied ICT,8,0,1,0,1,1,0,0,2,1,1,1,0
Suffolk,136271,Hartismere School,Converter Academy,Applied GCE Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,136271,Hartismere School,Converter Academy,Applied GCE Double Award,Health & Social Care,7,0,0,0,2,2,0,1,1,0,1,0,0
Wiltshire,136296,Hardenhuish School,Converter Academy,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,136301,Brinsworth Comprehensive School,Converter Academy,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,136301,Brinsworth Comprehensive School,Converter Academy,Applied GCE Double Award,Health & Social Care,9,0,1,0,0,0,1,1,2,2,2,0,0
Lincolnshire,136315,Queen Elizabeth's Grammar Alford - A Selective Academy,Converter Academy,Applied GCE Double Award,Applied Business,13,4,0,0,4,3,2,0,0,0,0,0,0
Kent,136317,Sandwich Technology School,Converter Academy,Applied GCE Double Award,Applied Science,21,0,0,0,0,0,4,4,3,5,3,2,0
Kent,136324,Fulston Manor School,Converter Academy,Applied GCE Double Award,Health & Social Care,7,0,0,0,0,2,0,4,1,0,0,0,0
Rotherham,136331,Wales High School,Converter Academy,Applied GCE Double Award,Applied Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,136331,Wales High School,Converter Academy,Applied GCE Double Award,Health & Social Care,8,0,0,0,0,0,3,4,1,0,0,0,0
Devon,136336,Ivybridge Community College,Converter Academy,Applied GCE Double Award,Applied Science,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,136340,Sandbach High School and Sixth Form College,Converter Academy,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,136340,Sandbach High School and Sixth Form College,Converter Academy,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,136343,Garforth Academy,Converter Academy,Applied GCE Double Award,Applied Business,7,0,0,0,1,0,1,1,0,1,2,1,0
Leeds,136343,Garforth Academy,Converter Academy,Applied GCE Double Award,Applied ICT,9,0,0,0,1,0,2,1,3,1,1,0,0
Leeds,136343,Garforth Academy,Converter Academy,Applied GCE Double Award,Travel & Tourism,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,136357,Queen Elizabeth School,Converter Academy,Applied GCE Double Award,Health & Social Care,10,0,0,1,2,1,2,1,2,0,1,0,0
Derby,136360,Chellaston Academy,Converter Academy,Applied GCE Double Award,Applied Art & Design,14,3,2,0,2,5,2,0,0,0,0,0,0
Derby,136360,Chellaston Academy,Converter Academy,Applied GCE Double Award,Applied ICT,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Derby,136360,Chellaston Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,136383,Bodmin College,Converter Academy,Applied GCE Double Award,Applied Art & Design,6,0,1,1,2,1,0,1,0,0,0,0,0
Leeds,136392,The Morley Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,7,0,0,0,1,0,2,0,1,1,1,1,0
Hertfordshire,136396,The Broxbourne School,Converter Academy,Applied GCE Double Award,Applied Business,13,1,1,0,3,3,2,1,1,0,1,0,0
"Herefordshire, County of",136399,John Kyrle High School and Sixth Form Centre Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,7,0,1,0,1,1,2,0,2,0,0,0,0
Staffordshire,136414,The de Ferrers Academy,Converter Academy,Applied GCE Double Award,Applied ICT,9,0,1,0,0,1,1,2,1,1,1,1,0
Staffordshire,136414,The de Ferrers Academy,Converter Academy,Applied GCE Double Award,Health & Social Care,7,0,0,0,0,0,0,2,3,2,0,0,0
Suffolk,136453,Ipswich Academy,Sponsored Academy,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bedford,136470,Sharnbrook Upper School,Converter Academy,Applied GCE Double Award,Health & Social Care,9,0,0,0,2,0,2,4,1,0,0,0,0
Gloucestershire,136474,Balcarras School,Converter Academy,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Norfolk,136515,Springwood High School,Converter Academy,Applied GCE Double Award,Applied ICT,7,0,0,0,1,2,0,0,0,1,2,1,0
Hounslow,136522,Cranford Community College,Converter Academy,Applied GCE Double Award,Applied ICT,8,0,0,0,0,0,0,1,3,3,1,0,0
Plymouth,136556,Ridgeway School,Converter Academy,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Devon,136569,South Dartmoor Community College,Converter Academy,Applied GCE Double Award,Applied Business,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Poole,136574,Corfe Hills School,Converter Academy,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136583,Towers School and Sixth Form Centre,Converter Academy,Applied GCE Double Award,Health & Social Care,6,0,0,0,0,0,0,2,4,0,0,0,0
Kent,136585,Dane Court Grammar School,Converter Academy,Applied GCE Double Award,Applied Business,6,0,0,0,0,1,0,1,1,3,0,0,0
Warwickshire,136587,Ashlawn School,Converter Academy,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,136603,Bennett Memorial Diocesan School,Converter Academy,Applied GCE Double Award,Applied ICT,10,0,1,0,2,0,1,0,1,1,3,1,0
Calderdale,136604,Brighouse High School,Converter Academy,Applied GCE Double Award,Applied Business,11,0,0,0,0,1,2,5,3,0,0,0,0
