"Number of students entered for an International Baccalaureate diploma programme core by institution, subject and grade achieved",,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A,Grade B,Grade C,Grade D,Grade E,No results
Oxfordshire,123290,Headington School,Independent School,IBO Diploma Programme Core,Study Skills,17,10,7,0,0,0,0
Oxfordshire,123292,St Edward's School,Independent School,IBO Diploma Programme Core,Study Skills,28,5,13,8,2,0,0
Shropshire,123600,Ellesmere College,Independent School,IBO Diploma Programme Core,Study Skills,13,0,4,5,4,0,0
Somerset,123914,Taunton School,Independent School,IBO Diploma Programme Core,Study Skills,36,7,8,16,5,0,0
Surrey,125340,Charterhouse,Independent School,IBO Diploma Programme Core,Study Skills,23,4,6,11,2,0,0
Surrey,125365,King Edward's School,Independent School,IBO Diploma Programme Core,Study Skills,52,11,12,21,8,0,0
Surrey,125388,Box Hill School,Independent School,IBO Diploma Programme Core,Study Skills,31,5,12,14,0,0,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Diploma Programme Core,Study Skills,22,6,5,7,4,0,0
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Diploma Programme Core,Study Skills,17,5,5,7,0,0,0
West Sussex,126107,Christ's Hospital,Independent School,IBO Diploma Programme Core,Study Skills,22,9,4,7,2,0,0
West Sussex,126133,Ardingly College,Independent School,IBO Diploma Programme Core,Study Skills,36,11,13,7,5,0,0
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Diploma Programme Core,Study Skills,12,4,4,4,0,0,0
West Sussex,126137,Worth School,Independent School,IBO Diploma Programme Core,Study Skills,10,1,4,4,1,0,0
Wiltshire,126516,Marlborough College,Independent School,IBO Diploma Programme Core,Study Skills,16,6,4,3,3,0,0
Wiltshire,126522,Warminster School,Independent School,IBO Diploma Programme Core,Study Skills,21,3,9,5,4,0,0
Islington,130409,City and Islington College,General Further Education College,IBO Diploma Programme Core,Study Skills,17,3,7,4,3,0,0
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Diploma Programme Core,Study Skills,10,1,4,5,0,0,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,IBO Diploma Programme Core,Study Skills,52,7,18,19,8,0,0
Liverpool,130487,The City of Liverpool College,General Further Education College,IBO Diploma Programme Core,Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,IBO Diploma Programme Core,Study Skills,6,1,5,0,0,0,0
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,IBO Diploma Programme Core,Study Skills,16,3,5,6,2,0,0
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,IBO Diploma Programme Core,Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130629,Truro and Penwith College,Tertiary College,IBO Diploma Programme Core,Study Skills,27,4,9,12,2,0,0
Devon,130645,Exeter College,Tertiary College,IBO Diploma Programme Core,Study Skills,36,6,7,16,6,1,0
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,IBO Diploma Programme Core,Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,130665,Sussex Coast College Hastings,General Further Education College,IBO Diploma Programme Core,Study Skills,26,4,6,14,2,0,0
Brighton and Hove,130668,Varndean College,Sixth Form Centre / Consortia,IBO Diploma Programme Core,Study Skills,43,21,7,12,3,0,0
East Sussex,130670,Bexhill College,Sixth Form Centre / Consortia,IBO Diploma Programme Core,Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,IBO Diploma Programme Core,Study Skills,44,6,15,18,5,0,0
Nottingham,130787,Bilborough College,Sixth Form Centre / Consortia,IBO Diploma Programme Core,Study Skills,28,6,7,13,2,0,0
