"Number of students passing a BTEC national award by institution, subject and grade achieved",,,,,,,,,
,,,,,,,Grade achieved,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction,Merit,Pass
Nottingham,134253,Djanogly City Academy,Sponsored Academy,BTEC National Award,Childcare Skills,2,Supp,Supp,Supp
Sandwell,135170,Shireland Collegiate Academy,Sponsored Academy,BTEC National Award,Childcare Skills,12,2,6,4
Sandwell,135234,George Salter Academy,Sponsored Academy,BTEC National Award,Childcare Skills,5,Supp,Supp,Supp
Oxfordshire,135365,North Oxfordshire Academy,Sponsored Academy,BTEC National Award,Childcare Skills,6,2,3,1
Manchester,135524,The Manchester College,General Further Education College,BTEC National Award,Childcare Skills,26,2,3,21
Sandwell,135599,RSA Academy,Sponsored Academy,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Kent,135721,Oasis Academy Isle of Sheppey,Sponsored Academy,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Nottingham,135761,Nottingham University Samworth Academy,Sponsored Academy,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
Leeds,135771,Leeds City  College,General Further Education College,BTEC National Award,Airport Management / Ground Services,25,3,1,21
"Kingston upon Hull, City of",135945,Sirius Academy,Sponsored Academy,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Walsall,135956,Grace Academy Darlaston,Sponsored Academy,BTEC National Award,Childcare Skills,5,Supp,Supp,Supp
Medway,135964,Strood Academy,Sponsored Academy,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
Wolverhampton,135983,South Wolverhampton and Bilston Academy,Sponsored Academy,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
Liverpool,136119,Enterprise South Liverpool Academy,Sponsored Academy,BTEC National Award,Childcare Skills,2,Supp,Supp,Supp
Cheshire West and Chester,136184,The Winsford Academy,Sponsored Academy,BTEC National Award,Childcare Skills,6,5,1,0
Leeds,136343,Garforth Academy,Converter Academy,BTEC National Award,Childcare Skills,2,Supp,Supp,Supp
Solihull,136347,John Henry Newman Catholic College,Sponsored Academy,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Nottinghamshire,136361,Redhill Academy,Converter Academy,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
Hillingdon,136519,Haydon School,Converter Academy,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Kent,136571,Hartsdown Academy,Converter Academy,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
Lincolnshire,136624,Walton Girls' High School & Sixth Form,Converter Academy,BTEC National Award,Childcare Skills,2,Supp,Supp,Supp
Kirklees,136674,The Mirfield Free Grammar and Sixth Form,Converter Academy,BTEC National Award,Childcare Skills,15,13,2,0
County Durham,136683,The Hermitage Academy,Converter Academy,BTEC National Award,Childcare Skills,8,8,0,0
Bromley,136709,Bullers Wood School,Converter Academy,BTEC National Award,Childcare Skills,10,8,1,1
North Yorkshire,136736,South Craven School,Converter Academy,BTEC National Award,Childcare Skills,15,9,3,3
Kent,136923,St Augustine Academy,Sponsored Academy,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
Kent,137154,The Abbey School,Converter Academy,BTEC National Award,Childcare Skills,2,Supp,Supp,Supp
East Riding of Yorkshire,137306,Hessle High School and Sixth Form College,Converter Academy,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Staffordshire,137384,Cannock Chase High School,Converter Academy,BTEC National Award,Childcare Skills,13,6,4,3
Darlington,137622,Carmel College,Converter Academy,BTEC National Award,Childcare Skills,10,9,1,0
Worcestershire,137625,The Chase,Converter Academy,BTEC National Award,Childcare Skills,3,Supp,Supp,Supp
Medway,137630,Walderslade Girls' School,Converter Academy,BTEC National Award,Childcare Skills,5,Supp,Supp,Supp
Sandwell,137701,Oldbury Academy,Converter Academy,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Wolverhampton,137730,Heath Park,Converter Academy,BTEC National Award,Childcare Skills,8,4,2,2
Gateshead,137898,Joseph Swan Academy,Converter Academy,BTEC National Award,Childcare Skills,4,Supp,Supp,Supp
Leicestershire,138344,John Cleveland College,Converter Academy,BTEC National Award,Childcare Skills,9,9,0,0
Sandwell,139043,Bristnall Hall Academy,Converter Academy,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Warrington,139152,Great Sankey High School,Converter Academy,BTEC National Award,Childcare Skills,12,12,0,0
Lincolnshire,139168,Sir John Gleed School,Converter Academy,BTEC National Award,Childcare Skills,4,Supp,Supp,Supp
South Gloucestershire,139348,The Castle School,Converter Academy,BTEC National Award,Childcare Skills,13,7,5,1
Birmingham,139738,The Baverstock Academy,Converter Academy,BTEC National Award,Childcare Skills,2,Supp,Supp,Supp
East Sussex,139821,ARK William Parker Academy,Sponsored Academy,BTEC National Award,Childcare Skills,1,Supp,Supp,Supp
Birmingham,139888,Washwood Heath Academy,Converter Academy,BTEC National Award,Childcare Skills,6,3,2,1
East Sussex,139996,Helenswood Academy,Converter Academy,BTEC National Award,Childcare Skills,8,8,0,0
Dudley,140126,Bishop Milner Catholic College,Converter Academy,BTEC National Award,Childcare Skills,6,6,0,0
