Number of students passing a BTEC certificate by institution subject and grade achieved,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
Wandsworth,101053,Ernest Bevin College,Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Wandsworth,101055,Battersea Park School,Foundation School,BTEC Certificate Level 3,Applied Sciences,1,Supp,Supp,Supp,Supp,,
Wandsworth,101055,Battersea Park School,Foundation School,BTEC Certificate Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp,,
Wandsworth,101055,Battersea Park School,Foundation School,BTEC Certificate Level 3,Health Studies,1,Supp,Supp,Supp,Supp,,
Wandsworth,101064,Ibstock Place School,Independent School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,BTEC Certificate Level 3,Tourism,3,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,BTEC Certificate Level 3,Music Studies (General),2,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,BTEC Certificate Level 3,Applied Sciences,9,0,0,8,1,,
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,BTEC Certificate Level 3,Art & Design,2,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,BTEC Certificate Level 3,Business Studies,2,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,BTEC Certificate Level 3,Engineering Studies,4,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101245,Robert Clack School,Community School,BTEC Certificate Level 3,Applied Sciences,4,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101245,Robert Clack School,Community School,BTEC Certificate Level 3,Business Studies,1,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101245,Robert Clack School,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101245,Robert Clack School,Community School,BTEC Certificate Level 3,Multimedia,2,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101245,Robert Clack School,Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101246,The Sydney Russell School,Community School,BTEC Certificate Level 3,Acting Skills,1,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101246,The Sydney Russell School,Community School,BTEC Certificate Level 3,Engineering Studies,1,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101246,The Sydney Russell School,Community School,BTEC Certificate Level 3,Multimedia,1,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101246,The Sydney Russell School,Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,BTEC Certificate Level 3,Business Studies,2,Supp,Supp,Supp,Supp,,
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,BTEC Certificate Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,,
Barnet,101364,St James' Catholic High School,Voluntary Aided School,BTEC Certificate Level 3,Applied Sciences,3,Supp,Supp,Supp,Supp,,
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,BTEC Certificate Level 3,Applied Sciences,9,1,1,0,7,,
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,BTEC Certificate Level 3,Business Studies,17,5,5,5,2,,
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,BTEC Certificate Level 3,Engineering Studies,4,Supp,Supp,Supp,Supp,,
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,BTEC Certificate Level 3,Health Studies,7,2,1,1,3,,
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,BTEC Certificate Level 3,Music Studies (General),5,Supp,Supp,Supp,Supp,,
Barnet,101365,Bishop Douglass School Finchley,Voluntary Aided School,BTEC Certificate Level 3,Sports / Movement Science,6,3,0,3,0,,
Barnet,101369,The King Alfred School,Independent School,BTEC Certificate Level 3,Music Technology (Electronic),1,Supp,Supp,Supp,Supp,,
Bromley,101676,St Olave's and St Saviour's Grammar School,Voluntary Aided School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Bromley,101685,Farringtons School,Independent School,BTEC Certificate Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,,
Croydon,101811,Archbishop Tenison's CofE High School,Voluntary Aided School,BTEC Certificate Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp,,
