"Number of students passing a BTEC diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Double Distinction Star,Distinction star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
Lambeth,100624,Norwood School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100624,Norwood School,Community School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100624,Norwood School,Community School,Pearson BTEC Level 3 Diploma,Dance: General,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100624,Norwood School,Community School,Pearson BTEC Level 3 Diploma,Health Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100624,Norwood School,Community School,Pearson BTEC Level 3 Diploma,Music Studies (General),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100625,Lilian Baylis Technology School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,8,6,1,0,1,0,0,0
Lambeth,100625,Lilian Baylis Technology School,Community School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,10,9,1,0,0,0,0,0
Lambeth,100625,Lilian Baylis Technology School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100638,Bishop Thomas Grant Catholic Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,20,7,4,4,2,2,1,0
Lambeth,100640,Archbishop Tenison's School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100640,Archbishop Tenison's School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Sports / Movement Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lambeth,100642,London Nautical School,Foundation School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100741,Sydenham School,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100741,Sydenham School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 Diploma,Acting Skills,10,0,2,1,1,3,1,2
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,7,5,1,1,0,0,0,0
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,7,2,0,3,2,0,0,0
Lewisham,100745,Forest Hill School,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lewisham,100745,Forest Hill School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,7,2,1,1,2,0,1,0
Tower Hamlets,100967,Morpeth School,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100967,Morpeth School,Community School,Pearson BTEC Level 3 Diploma,Multimedia,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100967,Morpeth School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,6,0,1,1,1,1,1,1
Tower Hamlets,100972,Oaklands School,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100972,Oaklands School,Community School,Pearson BTEC Level 3 Diploma,Health Studies,27,4,5,5,2,5,1,5
Tower Hamlets,100972,Oaklands School,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100973,Swanlea School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,6,1,0,1,1,1,1,1
Tower Hamlets,100973,Swanlea School,Community School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100975,Central Foundation Girls' School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,7,4,1,2,0,0,0,0
Tower Hamlets,100975,Central Foundation Girls' School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Health Studies,10,3,4,0,2,1,0,0
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,36,24,7,4,0,1,0,0
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,18,4,6,4,3,1,0,0
