Information on the schools and colleges which are eligible to be included in the 2014 performance tables underlying data,,,,,,,,
,,,,,,,,
NA: not applicable,,,,,,,,
Local Authority number,Local Authority name,LAESTAB: local authority establishment number,URN: Unique Reference Number,School or college name,Institution Type,Admissions policy (state-funded institutions only),Gender of Sixth Form,Number of students at the end of KS5
208,Lambeth,2086905,134815,Lambeth Academy,Academy sponsor led,COMP,MIXED,71
208,Lambeth,2085402,137093,Dunraven School,Academy - converter mainstream,COMP,MIXED,76
208,Lambeth,2085404,137966,St Martin in the Fields High School for Girls,Academy - converter mainstream,COMP,MIXED,53
209,Lewisham,2094047,100740,Deptford Green School,Community school,COMP,MIXED,20
209,Lewisham,2094204,100741,Sydenham School,Community school,COMP,GIRLS,72
209,Lewisham,2094267,100743,Sedgehill School,Community school,COMP,MIXED,110
209,Lewisham,2094289,100745,Forest Hill School,Community school,COMP,BOYS,84
209,Lewisham,2094646,100750,Prendergast-Hilly Fields College,Voluntary aided school,COMP,MIXED,120
209,Lewisham,2096032,100754,St Dunstan's College,Independent,,MIXED,56
209,Lewisham,2096309,100757,Sydenham High School GDST,Independent,,GIRLS,32
209,Lewisham,2098006,130415,LeSoCo,General Further Education College,NA,MIXED,347
209,Lewisham,2098600,130416,Christ The King Sixth Form College,Sixth Form College,NA,MIXED,1127
209,Lewisham,2094950,132942,Sydenham and Forest Hill Sixth Form,,,,156
209,Lewisham,2096906,135070,Haberdashers' Aske's Knights Academy,Academy sponsor led,COMP,MIXED,67
209,Lewisham,2096905,135073,Haberdashers' Aske's Hatcham College,Academy sponsor led,COMP,MIXED,121
210,Southwark,2104680,100849,St Saviour's and St Olave's Church of England School,Voluntary aided school,COMP,GIRLS,69
210,Southwark,2106000,100861,Dulwich College,Independent,,BOYS,208
210,Southwark,2106002,100863,James Allen's Girls' School,Independent,,GIRLS,101
210,Southwark,2106312,100864,Alleyn's School,Independent,,MIXED,150
210,Southwark,2106907,131747,Harris Academy Bermondsey,Academy sponsor led,COMP,GIRLS,17
210,Southwark,2106905,134222,City of London Academy (Southwark),Academy sponsor led,COMP,MIXED,105
210,Southwark,2106906,134225,Harris Academy Peckham,Academy sponsor led,COMP,MIXED,19
210,Southwark,2106909,135315,Walworth Academy,Academy sponsor led,COMP,MIXED,66
210,Southwark,2106911,135401,Bacon's College,Academy sponsor led,COMP,MIXED,77
210,Southwark,2106912,135584,ARK Globe Academy,Academy sponsor led,COMP,MIXED,0
210,Southwark,2104318,136298,The Charter School,Academy - converter mainstream,COMP,MIXED,132
210,Southwark,2104265,136309,Kingsdale Foundation School,Academy - converter mainstream,COMP,MIXED,52
210,Southwark,2105405,138960,Sacred Heart Catholic School,Academy - converter mainstream,COMP,MIXED,34
210,Southwark,2105403,138961,St Michael's Catholic College,Academy - converter mainstream,COMP,MIXED,47
211,Tower Hamlets,2114150,100967,Morpeth School,Community school,COMP,MIXED,112
211,Tower Hamlets,2114242,100968,Mulberry School for Girls,Community school,COMP,GIRLS,126
211,Tower Hamlets,2114277,100970,St Paul's Way Trust School,Foundation school,COMP,MIXED,24
211,Tower Hamlets,2114296,100972,Oaklands School,Community school,COMP,MIXED,60
211,Tower Hamlets,2114297,100973,Swanlea School,Community school,COMP,MIXED,69
211,Tower Hamlets,2114505,100974,George Green's School,Voluntary controlled school,COMP,MIXED,64
211,Tower Hamlets,2114507,100975,Central Foundation Girls' School,Voluntary aided school,COMP,GIRLS,115
211,Tower Hamlets,2114722,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary aided school,COMP,MIXED,211
211,Tower Hamlets,2114726,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary aided school,COMP,MIXED,98
211,Tower Hamlets,2115400,100979,Raine's Foundation School,Voluntary aided school,COMP,MIXED,34
211,Tower Hamlets,2116383,100982,Madani Secondary Girls' School,Independent,,GIRLS,1
211,Tower Hamlets,2118066,130418,Tower Hamlets College,General Further Education College,NA,MIXED,344
211,Tower Hamlets,2116387,131388,Jamiatul Ummah School,Independent,,BOYS,8
211,Tower Hamlets,2116389,131745,Darul Hadis Latifiah,Independent,,BOYS,3
211,Tower Hamlets,2114900,136096,Cambridge Heath Sixth Form,,,,241
211,Tower Hamlets,2114284,137789,Bethnal Green Academy,Academy - converter mainstream,COMP,MIXED,40
212,Wandsworth,2124297,101053,Ernest Bevin College,Community school,COMP,BOYS,132
212,Wandsworth,2124329,101055,Battersea Park School,Foundation school,COMP,MIXED,47
212,Wandsworth,2126040,101064,Ibstock Place School,Independent,,MIXED,60
212,Wandsworth,2126292,101071,Emanuel School,Independent,,MIXED,81
212,Wandsworth,2126310,101072,Putney High School,Independent,,GIRLS,65
212,Wandsworth,2128042,130420,South Thames College,General Further Education College,NA,MIXED,413
212,Wandsworth,2128600,130422,St Francis Xavier Sixth Form College,Sixth Form College,NA,MIXED,574
212,Wandsworth,2124734,132173,"Saint Cecilia's, Wandsworth Church of England School",Voluntary aided school,COMP,MIXED,65
212,Wandsworth,2126905,135316,Ashcroft Technology Academy,Academy sponsor led,COMP,MIXED,93
212,Wandsworth,2124008,135762,Saint John Bosco College,Voluntary aided school,COMP,MIXED,26
212,Wandsworth,2124328,136883,Chestnut Grove School,Academy - converter mainstream,COMP,MIXED,57
212,Wandsworth,2125400,137005,Graveney School,Academy - converter mainstream,COMP,MIXED,303
212,Wandsworth,2125402,138681,ARK Putney Academy,Academy - converter mainstream,COMP,MIXED,58
212,Wandsworth,2125405,138682,Southfields Academy,Academy - converter mainstream,COMP,MIXED,115
212,Wandsworth,2125401,139842,Burntwood School,Academy - converter mainstream,COMP,MIXED,156
213,Westminster,2136391,100529,Davies Laing and Dick College,Independent,,MIXED,140
213,Westminster,2136389,100536,Lansdowne College,Independent,,MIXED,70
213,Westminster,2136386,100541,Portland Place School,Independent,,MIXED,35
213,Westminster,2134723,101154,St Augustine's CofE High School,Voluntary aided school,COMP,MIXED,61
213,Westminster,2136036,101157,Queen's College London,Independent,,GIRLS,30
213,Westminster,2136037,101158,Francis Holland School,Independent,,GIRLS,54
213,Westminster,2136046,101161,Francis Holland School,Independent,,GIRLS,42
213,Westminster,2136047,101162,Westminster School,Independent,,MIXED,195
213,Westminster,2136384,101181,Bales College,Independent,,MIXED,11
213,Westminster,2138028,130423,City of Westminster College,General Further Education College,NA,MIXED,409
213,Westminster,2136905,130912,Paddington Academy,Academy sponsor led,COMP,MIXED,138
213,Westminster,2136906,131262,Westminster Academy,Academy sponsor led,COMP,MIXED,41
213,Westminster,2136908,135676,Pimlico Academy,Academy sponsor led,COMP,MIXED,78
213,Westminster,2138046,135800,Fashion Retail Academy,"Art, Design and Performing Arts College",NA,GIRLS,85
213,Westminster,2134673,137353,The St Marylebone CofE School,Academy - converter mainstream,COMP,MIXED,146
213,Westminster,2134295,137646,Quintin Kynaston Academy,Academy - converter mainstream,COMP,MIXED,126
213,Westminster,2134687,138312,Westminster City School,Academy - converter mainstream,COMP,MIXED,39
213,Westminster,2134628,138313,The Grey Coat Hospital,Academy - converter mainstream,COMP,MIXED,112
301,Barking and Dagenham,3014016,101240,The Warren Comprehensive School,Community school,COMP,MIXED,71
301,Barking and Dagenham,3014021,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community school,COMP,MIXED,278
301,Barking and Dagenham,3014023,101243,Eastbrook Comprehensive School,Community school,COMP,MIXED,40
301,Barking and Dagenham,3014024,101244,Eastbury Comprehensive School,Community school,COMP,MIXED,106
301,Barking and Dagenham,3014027,101245,Robert Clack School,Community school,COMP,MIXED,159
301,Barking and Dagenham,3014028,101246,The Sydney Russell School,Community school,COMP,MIXED,84
301,Barking and Dagenham,3014703,101247,All Saints Catholic School and Technology College,Voluntary aided school,COMP,MIXED,94
301,Barking and Dagenham,3018000,130424,Barking and Dagenham College,General Further Education College,NA,MIXED,412
301,Barking and Dagenham,3014029,133561,Jo Richardson Community School,Community school,COMP,MIXED,70
301,Barking and Dagenham,3014704,136028,Dagenham Park CofE School,Voluntary controlled school,COMP,MIXED,61
301,Barking and Dagenham,3014900,141332,Southern Consortium Sixth Form,,,,321
302,Barnet,3025403,101360,St Mary's CofE High School,Voluntary aided school,COMP,MIXED,27
302,Barnet,3025404,101361,St Michael's Catholic Grammar School,Voluntary aided school,SEL,MIXED,122
302,Barnet,3025405,101362,Finchley Catholic High School,Voluntary aided school,COMP,MIXED,140
302,Barnet,3025407,101364,St James' Catholic High School,Voluntary aided school,COMP,MIXED,98
302,Barnet,3025408,101365,Bishop Douglass School Finchley,Voluntary aided school,COMP,MIXED,69
302,Barnet,3026000,101367,Mill Hill School Foundation,Independent,,MIXED,102
302,Barnet,3026004,101369,The King Alfred School,Independent,,MIXED,29
302,Barnet,3026014,101374,St Martha's Senior School,Independent,,GIRLS,20
302,Barnet,3026089,101387,Menorah Grammar School,Independent,,BOYS,15
302,Barnet,3026098,101391,Dwight School London,Independent,,MIXED,27
302,Barnet,3026101,101393,Brampton College,Independent,,MIXED,103
302,Barnet,3028000,130425,Barnet and Southgate College,General Further Education College,NA,MIXED,635
302,Barnet,3028600,130427,Woodhouse College,Sixth Form College,NA,MIXED,586
302,Barnet,3026119,131261,Ayesha Community School,Independent,,GIRLS,6
302,Barnet,3026109,131288,Wentworth Tutorial College,Independent,,MIXED,22
302,Barnet,3026905,134798,London Academy,Academy sponsor led,COMP,MIXED,141
302,Barnet,3026906,135507,Wren Academy,Academy sponsor led,COMP,MIXED,0
302,Barnet,3025427,135747,JCoSS,Voluntary aided school,COMP,MIXED,36
302,Barnet,3025401,136290,"Queen Elizabeth's School, Barnet",Academy - converter mainstream,SEL,BOYS,134
302,Barnet,3025406,136308,Ashmole Academy,Academy - converter mainstream,COMP,MIXED,143
302,Barnet,3024212,136658,East Barnet School,Academy - converter mainstream,COMP,MIXED,114
302,Barnet,3024208,137131,Queen Elizabeth's Girls' School,Academy - converter mainstream,COMP,GIRLS,121
302,Barnet,3024012,137361,Whitefield School,Academy - converter mainstream,COMP,MIXED,39
302,Barnet,3024009,137374,The Totteridge Academy,Academy - converter mainstream,COMP,MIXED,53
302,Barnet,3025402,137386,Mill Hill County High School,Academy - converter mainstream,COMP,MIXED,203
302,Barnet,3024211,137388,Christ's College Finchley,Academy - converter mainstream,COMP,MIXED,66
302,Barnet,3025409,137539,Hasmonean High School,Academy - converter mainstream,COMP,MIXED,107
302,Barnet,3025400,137645,Hendon School,Academy - converter mainstream,COMP,MIXED,105
302,Barnet,3024752,138051,The Henrietta Barnett School,Academy - converter mainstream,SEL,GIRLS,118
302,Barnet,3024210,138685,Copthall School,Academy - converter mainstream,COMP,GIRLS,98
303,Bexley,3038000,130428,Bexley College,General Further Education College,NA,MIXED,45
303,Bexley,3036905,133769,The Business Academy Bexley,Academy sponsor led,COMP,MIXED,58
303,Bexley,3036906,135677,Harris Academy Falconwood,Academy sponsor led,COMP,MIXED,58
303,Bexley,3034022,136330,Erith Secondary School,Academy - converter mainstream,COMP,MIXED,85
303,Bexley,3035403,136334,Beths Grammar School,Academy - converter mainstream,SEL,MIXED,209
303,Bexley,3034000,136369,Bexley Grammar School,Academy - converter mainstream,SEL,MIXED,226
303,Bexley,3034603,136538,"Trinity Church of England School, Belvedere",Academy - converter mainstream,COMP,MIXED,90
303,Bexley,3034021,136720,Welling School,Academy - converter mainstream,MOD,MIXED,86
303,Bexley,3034002,137138,Bexleyheath Academy,Academy sponsor led,COMP,MIXED,122
303,Bexley,3034009,137423,Chislehurst and Sidcup Grammar School,Academy - converter mainstream,SEL,MIXED,181
303,Bexley,3034001,137769,Townley Grammar School,Academy - converter mainstream,SEL,MIXED,198
303,Bexley,3034008,137965,Blackfen School for Girls,Academy - converter mainstream,MOD,MIXED,143
303,Bexley,3034030,138686,Cleeve Park School,Academy - converter mainstream,MOD,MIXED,27
304,Brent,3045401,101558,Copland Community School,Foundation school,COMP,MIXED,44
304,Brent,3045406,101563,St Gregory RC High School,Voluntary aided school,COMP,MIXED,79
304,Brent,3045407,101564,Newman Catholic College,Voluntary aided school,COMP,BOYS,24
304,Brent,3046074,101578,The Swaminarayan School,Independent,,MIXED,12
304,Brent,3048002,130429,The College of North West London,General Further Education College,NA,MIXED,165
304,Brent,3044900,132949,The Crest Sixth Form,,,,51
304,Brent,3046080,133448,Menorah High School,Independent,,GIRLS,16
304,Brent,3044033,133724,JFS,Voluntary aided school,COMP,MIXED,242
304,Brent,3046905,134226,Capital City Academy,Academy sponsor led,COMP,MIXED,75
304,Brent,3046907,135973,The Crest Academies,Academy sponsor led,COMP,GIRLS,26
304,Brent,3046908,135974,The Crest Boys' Academy,Academy sponsor led,COMP,BOYS,25
304,Brent,3045400,136656,Claremont High School,Academy - converter mainstream,COMP,MIXED,136
304,Brent,3045402,137685,Kingsbury High School,Academy - converter mainstream,COMP,MIXED,127
304,Brent,3045404,137994,Convent of Jesus and Mary Language College,Academy - converter mainstream,COMP,GIRLS,58
304,Brent,3044006,138457,Wembley High Technology College,Academy - converter mainstream,COMP,MIXED,129
304,Brent,3045403,138609,Queens Park Community School,Academy - converter mainstream,COMP,MIXED,73
304,Brent,3045405,138610,Alperton Community School,Academy - converter mainstream,COMP,MIXED,112
304,Brent,3045410,139319,Preston Manor School,Academy - converter mainstream,COMP,MIXED,110
305,Bromley,3055410,101676,St Olave's and St Saviour's Grammar School,Voluntary aided school,SEL,MIXED,183
305,Bromley,3056003,101683,Bishop Challoner School,Independent,,BOYS,6
305,Bromley,3056007,101685,Farringtons School,Independent,,MIXED,33
305,Bromley,3056073,101692,Bromley High School,Independent,,GIRLS,55
305,Bromley,3056074,101693,Eltham College,Independent,,MIXED,93
305,Bromley,3058000,130430,Bromley College of Further and Higher Education,General Further Education College,NA,MIXED,515
305,Bromley,3055406,136281,Kemnal Technology College,Academy - converter mainstream,COMP,BOYS,62
305,Bromley,3055418,136355,Darrick Wood School,Academy - converter mainstream,COMP,MIXED,175
305,Bromley,3055401,136464,Coopers School,Academy - converter mainstream,COMP,MIXED,124
305,Bromley,3054604,136466,Bishop Justus CofE School,Academy - converter mainstream,COMP,MIXED,120
305,Bromley,3055408,136467,Beaverwood School for Girls,Academy - converter mainstream,COMP,MIXED,86
305,Bromley,3055403,136517,Ravens Wood School,Academy - converter mainstream,COMP,MIXED,173
305,Bromley,3055413,136540,The Ravensbourne School,Academy - converter mainstream,COMP,MIXED,181
305,Bromley,3055409,136545,Charles Darwin School,Academy - converter mainstream,COMP,MIXED,97
305,Bromley,3055405,136551,Newstead Wood School,Academy - converter mainstream,SEL,MIXED,162
305,Bromley,3055402,136586,Langley Park School for Boys,Academy - converter mainstream,COMP,MIXED,278
305,Bromley,3055407,136644,Hayes School,Academy - converter mainstream,COMP,MIXED,207
305,Bromley,3055400,136709,Bullers Wood School,Academy - converter mainstream,COMP,MIXED,196
305,Bromley,3055412,137006,Langley Park School for Girls,Academy - converter mainstream,COMP,MIXED,174
305,Bromley,3055419,138114,The Priory School,Academy - converter mainstream,COMP,MIXED,63
305,Bromley,3056009,138384,Kings London,Independent,,MIXED,7
306,Croydon,3064600,101811,Archbishop Tenison's CofE High School,Voluntary aided school,COMP,MIXED,120
306,Croydon,3064603,101813,St Andrew's CofE Voluntary Aided High School,Voluntary aided school,COMP,MIXED,0
306,Croydon,3064702,101814,St Mary's Catholic High School,Voluntary aided school,COMP,MIXED,14
306,Croydon,3065401,101819,Edenham High School,Foundation school,COMP,MIXED,26
306,Croydon,3065403,101821,Thomas More Catholic School,Voluntary aided school,COMP,MIXED,56
306,Croydon,3065405,101823,Coloma Convent Girls' School,Voluntary aided school,COMP,GIRLS,135
306,Croydon,3066009,101835,Royal Russell School,Independent,,MIXED,79
306,Croydon,3066014,101837,Whitgift School,Independent,,BOYS,141
306,Croydon,3066077,101842,Trinity School,Independent,,MIXED,127
306,Croydon,3066081,101845,Croydon High School,Independent,,GIRLS,34
306,Croydon,3066082,101846,Old Palace of John Whitgift School,Independent,,GIRLS,52
306,Croydon,3066900,101849,BRIT School for Performing Arts and Technology,City technology college,COMP,MIXED,387
306,Croydon,3068000,130432,Croydon College,General Further Education College,NA,MIXED,348
306,Croydon,3068600,130433,Coulsdon Sixth Form College,Sixth Form College,NA,MIXED,346
306,Croydon,3068601,130434,John Ruskin College,Sixth Form College,NA,MIXED,122
306,Croydon,3065900,131280,Virgo Fidelis Convent Senior School,Voluntary aided school,COMP,GIRLS,64
306,Croydon,3066095,133528,Cambridge Tutors College,Independent,,MIXED,73
306,Croydon,3064900,135416,Harris Federation Post 16,,NA,MIXED,608
306,Croydon,3066907,135654,Oasis Academy Coulsdon,Academy sponsor led,COMP,MIXED,24
306,Croydon,3066909,135968,Oasis Academy Shirley Park,Academy sponsor led,COMP,MIXED,52
306,Croydon,3066910,136203,The Quest Academy,Academy sponsor led,COMP,MIXED,19
306,Croydon,3066000,137567,Croydon Metropolitan College,Independent,,MIXED,5
306,Croydon,3065406,137754,Norbury Manor Business and Enterprise College for Girls,Academy - converter mainstream,COMP,MIXED,76
306,Croydon,3065407,137772,Shirley High School Performing Arts College,Academy - converter mainstream,COMP,MIXED,48
306,Croydon,3065400,138178,Riddlesdown Collegiate,Academy - converter mainstream,COMP,MIXED,98
306,Croydon,3064031,138187,Woodcote High School,Academy - converter mainstream,COMP,MIXED,56
306,Croydon,3065402,138221,St Joseph's College,Academy - converter mainstream,COMP,MIXED,88
306,Croydon,3064000,139074,Addington High School,Academy sponsor led,COMP,MIXED,5
307,Ealing,3074020,101928,Villiers High School,Foundation school,COMP,MIXED,55
307,Ealing,3074030,101930,Dormers Wells High School,Community school,COMP,MIXED,57
307,Ealing,3074035,101932,Acton High School,Community school,COMP,MIXED,55
307,Ealing,3074603,101934,The Cardinal Wiseman Catholic School,Voluntary aided school,COMP,MIXED,153
307,Ealing,3075400,101939,Brentside High School,Foundation school,COMP,MIXED,75
307,Ealing,3075401,101940,Greenford High School,Foundation school,COMP,MIXED,243
307,Ealing,3075402,101941,The Ellen Wilkinson School for Girls,Foundation school,COMP,GIRLS,134
307,Ealing,3075404,101943,Northolt High School,Foundation school,COMP,MIXED,16
307,Ealing,3076005,101946,St Augustine's Priory,Independent,,GIRLS,28
307,Ealing,3076006,101947,St Benedict's School,Independent,,MIXED,103
307,Ealing,3076065,101954,Notting Hill and Ealing High School,Independent,,GIRLS,62
307,Ealing,3076068,101957,King Fahad Academy,Independent,,MIXED,6
307,Ealing,3074036,131310,Elthorne Park High School,Community school,COMP,MIXED,45
307,Ealing,3076081,131982,Acorn House College,Independent,,MIXED,29
307,Ealing,3076082,133444,Ealing Independent College,Independent,,MIXED,21
307,Ealing,3076905,134369,Alec Reed Academy,Academy sponsor led,COMP,MIXED,48
307,Ealing,3076338,135155,Ayesha Siddiqa Girls School,Independent,,GIRLS,3
307,Ealing,3075403,137221,Drayton Manor High School,Academy - converter mainstream,COMP,MIXED,164
307,Ealing,3074602,137546,Twyford Church of England High School,Academy - converter mainstream,COMP,MIXED,244
307,Ealing,3074031,137729,Featherstone High School,Academy - converter mainstream,COMP,MIXED,131
308,Enfield,3084007,102043,Edmonton County School,Community school,COMP,MIXED,84
308,Enfield,3084026,102045,Winchmore School,Community school,COMP,MIXED,91
308,Enfield,3084029,102047,Southgate School,Community school,COMP,MIXED,154
308,Enfield,3084030,102048,Enfield County School,Community school,COMP,GIRLS,94
