"Number of students passing key skill at level 3 by institution, subject and grade achieved",,,,,,,
,,,,,,,
,,,,,,,Grade achieved
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass
Stoke-on-Trent,124465,St Thomas More Catholic College,Voluntary Aided School,Key Skill at Level 3,Teamworking,1,Supp
Warwickshire,125758,St Thomas More Catholic School and Sixth Form College,Voluntary Aided School,Key Skill at Level 3,Teamworking,51,51
Warwickshire,125787,Princethorpe College,Independent School,Key Skill at Level 3,Learning Skills,1,Supp
Warwickshire,125787,Princethorpe College,Independent School,Key Skill at Level 3,Problem Solving,1,Supp
Lewisham,130415,LeSoCo,General Further Education College,Key Skill at Level 3,Learning Skills,3,Supp
Tower Hamlets,130418,Tower Hamlets College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Wandsworth,130420,South Thames College,General Further Education College,Key Skill at Level 3,Learning Skills,2,Supp
Camden,130421,Westminster Kingsway College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Camden,130421,Westminster Kingsway College,General Further Education College,Key Skill at Level 3,Teamworking,25,25
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,Key Skill at Level 3,Learning Skills,1,Supp
Westminster,130423,City of Westminster College,General Further Education College,Key Skill at Level 3,Learning Skills,171,171
Brent,130429,The College of North West London,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Brent,130429,The College of North West London,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
Bromley,130430,Bromley College of Further and Higher Education,General Further Education College,Key Skill at Level 3,Learning Skills,2,Supp
Hillingdon,130446,Uxbridge College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Kingston upon Thames,130448,Kingston College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Birmingham,130459,Bournville College of Further Education,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Coventry,130472,Henley College Coventry,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Coventry,130473,City College Coventry,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Dudley,130475,Dudley College of Technology,General Further Education College,Key Skill at Level 3,Learning Skills,2,Supp
Dudley,130476,Halesowen College,Tertiary College,Key Skill at Level 3,Learning Skills,5,Supp
Dudley,130478,King Edward VI College Stourbridge,Further Education Sector Institution,Key Skill at Level 3,Learning Skills,5,Supp
Sandwell,130479,Sandwell College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Sandwell,130479,Sandwell College,General Further Education College,Key Skill at Level 3,Problem Solving,1,Supp
Sandwell,130479,Sandwell College,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
Solihull,130482,"The Sixth Form College, Solihull",Sixth Form Centre / Consortia,Key Skill at Level 3,Learning Skills,1,Supp
Knowsley,130486,Knowsley Community College,Tertiary College,Key Skill at Level 3,Teamworking,1,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,Key Skill at Level 3,Problem Solving,1,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,Key Skill at Level 3,Teamworking,2,Supp
Wirral,130493,Wirral Metropolitan College,General Further Education College,Key Skill at Level 3,Problem Solving,1,Supp
Bolton,130495,Bolton College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Bury,130498,Bury College,Tertiary College,Key Skill at Level 3,Learning Skills,3,Supp
Wigan,130522,Winstanley College,Sixth Form Centre / Consortia,Key Skill at Level 3,Learning Skills,1,Supp
Wigan,130522,Winstanley College,Sixth Form Centre / Consortia,Key Skill at Level 3,Problem Solving,1,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,Key Skill at Level 3,Learning Skills,3,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,Key Skill at Level 3,Problem Solving,3,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,Key Skill at Level 3,Teamworking,3,Supp
Hartlepool,130567,Hartlepool College of Further Education,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Middlesbrough,130570,Middlesbrough College,Tertiary College,Key Skill at Level 3,Learning Skills,3,Supp
Redcar and Cleveland,130573,Redcar & Cleveland College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Stockton-on-Tees,130576,Stockton Riverside College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Stockton-on-Tees,130577,Stockton Sixth Form College,Sixth Form Centre / Consortia,Key Skill at Level 3,Learning Skills,171,171
East Riding of Yorkshire,130582,East Riding College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
East Riding of Yorkshire,130582,East Riding College,General Further Education College,Key Skill at Level 3,Problem Solving,1,Supp
East Riding of Yorkshire,130582,East Riding College,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
North East Lincolnshire,130585,Grimsby Institute of Further and Higher Education,General Further Education College,Key Skill at Level 3,Teamworking,2,Supp
North Yorkshire,130593,Scarborough Sixth Form College,Sixth Form Centre / Consortia,Key Skill at Level 3,Teamworking,8,8
Slough,130604,East Berkshire College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Cheshire East,130619,South Cheshire College,Tertiary College,Key Skill at Level 3,Teamworking,2,Supp
Cumbria,130632,Lakes College - West Cumbria,General Further Education College,Key Skill at Level 3,Learning Skills,3,Supp
Cumbria,130634,Carlisle College,General Further Education College,Key Skill at Level 3,Learning Skills,2,Supp
