"Number of students entered for an advanced extension award by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction,Merit,Pass,Unclassified,No results
"Bristol, City of",109369,Bristol Grammar School,Independent School,Advanced Extension Award,Mathematics,12,2,2,0,8,0
Central Bedfordshire,109705,Manshead School,Voluntary Aided School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
West Berkshire,110121,Bradfield College,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
West Berkshire,110128,St Gabriel's School,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110912,St Mary's School,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110914,The Leys School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110932,St Andrew's,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110935,Cambridge Arts and Sciences Sixth Form and Tutorial College,Independent School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Cheshire East,111443,Wilmslow High School,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cheshire East,111473,The King's School In Macclesfield,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cornwall,112076,Truro School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cumbria,112385,Ulverston Victoria High School,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cumbria,112398,St Benedict's Catholic High School,Voluntary Aided School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Derbyshire,112957,Glossopdale Community College,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
