"Number of students entered for an advanced extension award by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction,Merit,Pass,Unclassified,No results
Torbay,136388,Churston Ferrers Grammar School Academy,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hertfordshire,136396,The Broxbourne School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
"Herefordshire, County of",136399,John Kyrle High School and Sixth Form Centre Academy,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Staffordshire,136414,The de Ferrers Academy,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Lincolnshire,136415,William Farr CofE Comprehensive School,Converter Academy,Advanced Extension Award,Mathematics,8,1,2,0,5,0
Buckinghamshire,136419,Dr Challoner's Grammar School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Slough,136420,Upton Court Grammar School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,136444,Southend High School for Girls,Converter Academy,Advanced Extension Award,Mathematics,5,Supp,Supp,Supp,Supp,Supp
Reading,136449,Reading School,Converter Academy,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Warwickshire,136459,The Polesworth School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136463,Comberton Village College,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Bromley,136466,Bishop Justus CofE School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,136484,"The Royal Grammar School, High Wycombe",Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,136490,Westcliff High School for Girls,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
North Yorkshire,136497,Harrogate Grammar School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Kent,136501,Sir Roger Manwood's School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Norfolk,136515,Springwood High School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Hillingdon,136519,Haydon School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Slough,136521,Langley Grammar School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Surrey,136534,Glyn School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Gloucestershire,136578,The Crypt School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Warwickshire,136587,Ashlawn School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Plymouth,136588,Devonport High School for Girls,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Medway,136594,Chatham Grammar School for Boys,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Havering,136600,The Coopers' Company and Coborn School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Essex,136605,William de Ferrers School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Wiltshire,136611,The Corsham School,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,136615,The Tiffin Girls' School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Nottinghamshire,136627,Carlton le Willows Academy,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Wiltshire,136632,Sheldon School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Newham,136669,Brampton Manor Academy,Converter Academy,Advanced Extension Award,Mathematics,10,0,0,0,9,1
North Somerset,136722,Backwell School,Converter Academy,Advanced Extension Award,Mathematics,8,1,0,0,7,0
Torbay,136738,EF Academy Torbay,Independent School,Advanced Extension Award,Mathematics,8,1,1,0,5,1
Gloucestershire,136767,Ribston Hall High School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Walsall,136773,Queen Mary's Grammar School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Walsall,136777,Queen Mary's High School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Suffolk,136782,Thomas Mills High School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Sutton,136785,Cheam High School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Sutton,136787,Sutton Grammar School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Sutton,136789,Wallington High School for Girls,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Sutton,136795,Nonsuch High School for Girls,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Poole,136850,Poole Grammar School,Converter Academy,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,136910,Tiffin School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Wiltshire,136911,Royal Wootton Bassett Academy,Converter Academy,Advanced Extension Award,Mathematics,9,0,4,0,5,0
Hertfordshire,136922,Yavneh College,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,136974,Sawtry Community College,Converter Academy,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
East Riding of Yorkshire,136995,Beverley Grammar School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Essex,137013,Notley High School and Braintree Sixth Form,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Milton Keynes,137052,Ousedale School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Wiltshire,137057,St Laurence School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Harrow,137075,Park High School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Northamptonshire,137086,Bishop Stopford School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,137091,Chesham Grammar School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Enfield,137094,Enfield Grammar School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Kent,137099,Gravesend Grammar School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,137106,King's Oak Academy,Sponsored Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,137157,The London Oratory School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Dorset,137163,The Thomas Hardye School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Harrow,137177,Harrow High School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Harrow,137204,Hatch End High School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,137219,Dr Challoner's High School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Kent,137227,Wilmington Grammar School for Boys,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Warwickshire,137236,Stratford Upon Avon School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Coventry,137272,Blue Coat Church of England School and Music College,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,137299,Richard Challoner School,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Camden,137333,CATS College London,Independent School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Westminster,137353,The St Marylebone CofE School,Converter Academy,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Barnet,137386,Mill Hill County High School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hillingdon,137407,Bishop Ramsey Church of England School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Telford and Wrekin,137446,Adams' Grammar School,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Norfolk,137461,Wymondham High Academy Trust,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
West Berkshire,137465,St Bartholomew's School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Doncaster,137524,Danum Academy,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,137564,Burnham Grammar School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Lincolnshire,137572,Bourne Academy,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Leicestershire,137640,Rawlins Academy,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Westminster,137646,Quintin Kynaston Academy,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Wiltshire,137650,The John Bentley School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,137678,The Hollyfield School and Sixth Form Centre,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Slough,137726,Herschel Grammar School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Wolverhampton,137730,Heath Park,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Kent,137739,Cranbrook School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Bexley,137769,Townley Grammar School,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Hampshire,137791,Bay House School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Walsall,137830,Joseph Leckie Academy,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Hertfordshire,137872,Bushey Meads School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
North Somerset,137884,Clevedon School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hertfordshire,137895,The John Henry Newman Catholic School,Converter Academy,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Derby,137911,Woodlands School,Converter Academy,Advanced Extension Award,Mathematics,6,1,3,0,2,0
Liverpool,137916,The Blue Coat School,Converter Academy,Advanced Extension Award,Mathematics,5,Supp,Supp,Supp,Supp,Supp
Kingston upon Thames,137917,Southborough High School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hertfordshire,137922,Saint Michael's Catholic High School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Wirral,137929,Upton Hall School FCJ,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,137948,Samuel Whitbread Academy,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Oxfordshire,137970,The Cherwell School,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Birmingham,137988,Bishop Vesey's Grammar School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Wiltshire,138020,The John of Gaunt School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Barnet,138051,The Henrietta Barnett School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hertfordshire,138106,Loreto College,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Trafford,138134,St Ambrose College,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Newham,138403,London Academy of Excellence,Free School – 16-19,Advanced Extension Award,Mathematics,8,0,0,0,8,0
Brent,138457,Wembley High Technology College,Converter Academy,Advanced Extension Award,Mathematics,8,0,1,0,4,3
Dorset,138471,The Gryphon School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Oxfordshire,138499,Banbury Academy,Sponsored Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
West Berkshire,138525,Trinity School,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Hammersmith and Fulham,138607,Lady Margaret School,Converter Academy,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
Derby,138622,"Saint Benedict, A Catholic Voluntary Academy",Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Oxfordshire,138762,St Birinus School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Calderdale,139182,The Crossley Heath School,Converter Academy,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Coventry,139292,Caludon Castle School,Converter Academy,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Leicestershire,139624,Beauchamp College,Converter Academy,Advanced Extension Award,Mathematics,7,1,0,0,6,0
Staffordshire,140123,Alleyne's Academy,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Kensington and Chelsea,140134,Holland Park School,Converter Academy,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
