"Number of students passing a BTEC subsidiary diploma (with a single grade structure) by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Distinction *,Distinction,Merit,Pass
Kensington and Chelsea,100540,Mander Portman Woodward School,Independent School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,1,Supp,Supp,Supp,Supp
Lambeth,100624,Norwood School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,5,Supp,Supp,Supp,Supp
Lambeth,100624,Norwood School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,1,Supp,Supp,Supp,Supp
Lambeth,100624,Norwood School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Music Studies (General),2,Supp,Supp,Supp,Supp
Lambeth,100625,Lilian Baylis Technology School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,13,9,0,4,0
Lambeth,100625,Lilian Baylis Technology School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lambeth,100637,La Retraite Roman Catholic Girls' School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,7,0,3,2,2
Lambeth,100637,La Retraite Roman Catholic Girls' School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,14,1,2,9,2
Lambeth,100637,La Retraite Roman Catholic Girls' School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,8,0,2,4,2
Lambeth,100638,Bishop Thomas Grant Catholic Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Art & Design,5,Supp,Supp,Supp,Supp
Lambeth,100638,Bishop Thomas Grant Catholic Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,18,6,8,4,0
Lambeth,100640,Archbishop Tenison's School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Art & Design,5,Supp,Supp,Supp,Supp
Lambeth,100640,Archbishop Tenison's School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Sports / Movement Science,1,Supp,Supp,Supp,Supp
Lambeth,100642,London Nautical School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lewisham,100741,Sydenham School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Acting Skills,3,Supp,Supp,Supp,Supp
Lewisham,100741,Sydenham School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,4,Supp,Supp,Supp,Supp
Lewisham,100741,Sydenham School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,6,4,0,1,1
Lewisham,100741,Sydenham School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Music Studies (General),1,Supp,Supp,Supp,Supp
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,30,20,1,6,3
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Dance: General,5,Supp,Supp,Supp,Supp
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Music Studies (General),12,7,3,2,0
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Photography,21,6,1,6,8
Lewisham,100743,Sedgehill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,11,0,5,2,4
Lewisham,100745,Forest Hill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Acting Skills,2,Supp,Supp,Supp,Supp
Lewisham,100745,Forest Hill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp
Lewisham,100745,Forest Hill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,6,3,3,0,0
Lewisham,100745,Forest Hill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Music Studies (General),4,Supp,Supp,Supp,Supp
Lewisham,100745,Forest Hill School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,5,Supp,Supp,Supp,Supp
Lewisham,100750,Prendergast-Hilly Fields College,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Acting: Music Theatre,6,1,1,2,2
Lewisham,100750,Prendergast-Hilly Fields College,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,8,3,1,4,0
Lewisham,100750,Prendergast-Hilly Fields College,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Music Technology (Electronic),6,6,0,0,0
Tower Hamlets,100967,Morpeth School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Multimedia,10,0,1,3,6
Tower Hamlets,100967,Morpeth School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,4,Supp,Supp,Supp,Supp
Tower Hamlets,100975,Central Foundation Girls' School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,5,Supp,Supp,Supp,Supp
Tower Hamlets,100975,Central Foundation Girls' School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,8,6,1,1,0
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,5,Supp,Supp,Supp,Supp
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,15,8,2,3,2
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Finance / Accounting (General),21,17,3,1,0
Tower Hamlets,100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Small Business Management,16,7,7,2,0
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,3,Supp,Supp,Supp,Supp
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Multimedia,5,Supp,Supp,Supp,Supp
Tower Hamlets,100979,Raine's Foundation School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Art & Design,2,Supp,Supp,Supp,Supp
Tower Hamlets,100979,Raine's Foundation School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Fashion / Textiles Design,1,Supp,Supp,Supp,Supp
Tower Hamlets,100979,Raine's Foundation School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Graphic Design,1,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,20,13,3,3,1
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,20,10,4,2,4
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Engineering Studies,2,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,2,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Tourism,1,Supp,Supp,Supp,Supp
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,2,Supp,Supp,Supp,Supp
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,13,4,3,3,3
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Music Studies (General),3,Supp,Supp,Supp,Supp
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,1,Supp,Supp,Supp,Supp
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,4,Supp,Supp,Supp,Supp
